GeneID	Pituitary_rep1	Pituitary_rep2	Pituitary_rep3	Pituitary_rep4	Pituitary_rep5	Pituitary_rep6
NP_001000000.1	0.0	0.0	0.0	2.31604e-08		
NP_001000001.1	0.234867	0.192012	0.125002	0.240051		
NP_001000002.1	0.0	0.0320021	0.0	0.0		
NP_001000003.1	0.0	0.0	0.0	0.0		
NP_001000004.1	0.0	0.0	0.0	0.0		
NP_001000005.1	0.0126497	0.0	0.0	0.0		
NP_001000006.1	0.0	0.0	0.0	0.0		
NP_001000007.1	0.0122648	0.0157848	0.0	0.0		
NP_001000009.1	0.0501491	0.129188	0.0	0.0		
NP_001000010.1	0.0	0.0	0.0	0.0		
NP_001000011.1	0.0122117	0.0	0.0	0.0		
NP_001000012.1	0.0236062	0.0	0.0	0.0		
NP_001000013.1	0.0	0.0	0.0	0.0		
NP_001000014.1	0.0	0.0	0.0	0.0		
NP_001000015.1	0.0	0.0	0.0	0.0		
NP_001000016.1	0.0	0.0	0.0	0.0		
NP_001000017.1	0.0	0.0	0.0	0.0		
NP_001000018.1	0.0	0.0	0.0	0.0		
NP_001000019.1	0.0	0.0	0.0	0.0		
NP_001000020.1	0.0	0.00736187	0.0	0.0		
NP_001000021.1	0.0	0.0	0.0	0.0		
NP_001000022.1	0.0	0.0	0.0	0.0		
NP_001000023.1	0.0	0.0	0.0	0.0		
NP_001000024.1	0.0	0.0	0.0	0.0		
NP_001000025.1	0.0	0.0	0.0	0.0		
NP_001000026.1	0.0	0.0	0.0	0.0		
NP_001000027.1	0.0	0.0	0.0	0.0		
NP_001000029.1	0.0	0.0	0.0	0.0		
NP_001000030.1	0.0	0.0	0.0	0.0		
NP_001000031.1	0.0	0.0	0.0	0.0		
NP_001000032.1	0.0	0.0	0.0	0.0		
NP_001000033.1	0.0	0.0	0.0	0.0		
NP_001000034.1	0.0	0.0	0.0	0.0		
NP_001000035.1	0.0	0.0	0.0	0.0		
NP_001000036.1	0.0	0.0	0.0	0.0		
NP_001000037.1	0.0	0.0	0.0	0.0		
NP_001000038.1	0.0	0.0	0.0	0.0		
NP_001000039.1	0.0372805	0.0	0.0	0.0800171		
NP_001000040.1	0.0	0.0	0.0	0.0		
NP_001000041.1	0.0	0.0	0.0	0.0		
NP_001000042.1	0.0618618	0.0	0.0	0.0		
NP_001000043.1	0.0	0.0	0.0	0.0		
NP_001000044.1	0.0	0.0	0.0	0.0		
NP_001000045.1	0.0	0.0	0.0	0.0		
NP_001000046.1	0.0	0.0	0.0	0.0		
NP_001000047.1	0.0	0.0	0.0	0.0		
NP_001000048.1	0.0	0.0	0.0	0.0		
NP_001000049.1	0.0	0.0	0.0	0.0		
NP_001000050.1	0.0	0.0	0.0	0.0		
NP_001000051.1	0.0	0.0	0.0	0.0		
NP_001000052.1	0.0	0.0	0.0	0.0		
NP_001000054.2	0.0	0.0	0.0	0.0		
NP_001000055.1	0.0	0.0	0.0	0.0		
NP_001000056.1	0.0	0.0	0.0	0.0		
NP_001000057.1	0.0	0.0	0.0	0.0		
NP_001000058.1	0.0	0.0	0.0	0.0		
NP_001000059.1	0.0	0.0	0.0	0.0		
NP_001000060.1	0.0	0.0	0.0	0.0		
NP_001000061.1	0.0	0.0	0.0	0.0		
NP_001000062.1	0.0	0.0	0.0596379	0.0763639		
NP_001000063.1	0.0	0.0	0.0	0.0		
NP_001000064.1	0.0	0.0	0.0	0.0		
NP_001000065.1	0.0	0.0	0.0	0.0		
NP_001000066.1	0.0866065	0.0637132	0.0	0.318682		
NP_001000068.1	0.0	0.0	0.0	0.0		
NP_001000069.1	0.0	0.0	0.0	0.0		
NP_001000070.1	0.0	0.0	0.0	0.0		
NP_001000071.1	0.0	0.0	0.0	0.0		
NP_001000072.1	0.0247447	0.0318566	0.0	0.0		
NP_001000073.1	0.0	0.0	0.0	0.0		
NP_001000074.1	0.0	0.0	0.0	0.0		
NP_001000075.1	0.0	0.0	0.0	0.0		
NP_001000076.1	0.0	0.0	0.0	0.0		
NP_001000077.1	0.0	0.0	0.0	0.0		
NP_001000078.1	0.0	0.0	0.0	0.0		
NP_001000079.1	0.0	0.0	0.0	0.0		
NP_001000080.1	0.0	0.0	0.0	0.0		
NP_001000081.1	0.122648	0.110494	0.18508	0.0		
NP_001000083.1	0.0	0.0	0.0	0.0		
NP_001000084.1	0.0	0.0	0.0	0.0		
NP_001000085.1	0.0122117	0.0	0.0	0.0		
NP_001000086.1	0.0	0.0	0.0	0.0		
NP_001000087.1	0.0	0.0	0.0	0.0		
NP_001000088.1	0.0	0.0	0.0	0.0		
NP_001000089.1	0.0	0.0	0.0	0.0		
NP_001000090.1	0.0	0.0	0.0	0.0		
NP_001000091.1	0.0	0.0	0.0	0.0		
NP_001000092.1	0.0	0.0	0.0	0.0		
NP_001000093.1	0.0	0.0	0.0	0.0		
NP_001000094.1	0.0	0.0	0.0	0.0		
NP_001000096.1	0.0	0.0	0.0	0.0		
NP_001000097.1	0.0	0.0	0.0	0.0		
NP_001000099.1	0.0123184	0.0158562	0.0	0.0		
NP_001000100.1	0.0	0.0	0.0606481	0.0		
NP_001000102.2	4.14426	2.29921	2.26898	3.77755		
NP_001000103.1	0.0	0.0157848	0.0	0.0		
NP_001000104.1	0.0244235	0.0942843	0.0614286	0.0786489		
NP_001000105.1	0.0127066	0.0	0.0638953	0.0		
NP_001000106.1	0.0	0.0	0.0	0.0		
NP_001000107.2	0.012107	0.0	0.0	0.0		
NP_001000108.1	0.0	0.0	0.0	0.0		
NP_001000109.1	0.0	0.0	0.0	0.0		
NP_001000110.1	0.0	0.0	0.0	0.0		
NP_001000111.1	0.0	0.0	0.0	0.0		
NP_001000112.1	0.0	0.0	0.0	0.0		
NP_001000113.1	0.0	0.0	0.0	0.0		
NP_001000114.1	0.0	0.0	0.0	0.0		
NP_001000116.1	0.0	0.0	0.0	0.0		
NP_001000117.1	0.0	0.0	0.0	0.0		
NP_001000118.1	0.0	0.0	0.0	0.0		
NP_001000119.1	0.0	0.0	0.0	0.0		
NP_001000120.1	0.0	0.0	0.0	0.0		
NP_001000122.1	0.0	0.0	0.0	0.0		
NP_001000123.1	0.012004	0.0	0.0	0.0		
NP_001000124.1	0.0	0.0	0.0	0.0		
NP_001000125.1	0.0	0.0	0.0	0.0		
NP_001000126.1	0.0	0.0	0.0	0.0		
NP_001000127.1	0.0	0.0156439	0.0	0.0		
NP_001000128.1	0.0	0.0	0.0	0.0		
NP_001000129.1	0.0	0.0	0.0601388	0.0		
NP_001000130.1	0.0121591	0.0	0.0	0.0		
NP_001000131.1	0.0	0.0	0.0	0.0		
NP_001000132.1	0.0125932	0.0	0.0	0.0		
NP_001000133.1	0.0	0.0	0.0	0.0		
NP_001000134.1	0.0	0.0	0.0	0.0		
NP_001000135.1	0.0	0.0	0.0	0.0		
NP_001000136.1	0.0	0.0	0.0	0.0		
NP_001000137.1	0.0	0.0	0.0	0.0		
