GeneID	Brain_rep1	Brain_rep2	Brain_rep3	Brain_rep4	Brain_rep5	Brain_rep6
NP_001000000.1	0.0938137	0.147704	0.111575	0.0	0.076305	
NP_001000001.1	0.375255	0.118163	0.390512	0.367642	0.30522	
NP_001000002.1	0.0938137	0.0241697	0.0278937	0.0	0.0	
NP_001000003.1	0.0	0.0	0.0	0.0	0.0	
NP_001000004.1	0.0	0.0	0.0	0.0	0.0	
NP_001000005.1	0.0	0.0	0.0	0.0	0.0	
NP_001000006.1	0.0	0.0	0.0	0.0	0.0	
NP_001000007.1	0.0	0.0	0.0	0.0	0.0	
NP_001000009.1	0.0	0.0	0.0	0.0	0.0	
NP_001000010.1	0.0	0.0	0.0	0.0	0.0	
NP_001000011.1	0.0	0.0	0.0	0.0	0.0	
NP_001000012.1	0.0	0.0	0.0	0.0	0.0	
NP_001000013.1	0.0	0.0	0.0	0.0	0.0	
NP_001000014.1	0.0	0.0	0.0	0.0	0.0	
NP_001000015.1	0.0	0.0	0.0	0.0	0.0	
NP_001000016.1	0.0	0.0	0.0	0.0	0.0	
NP_001000017.1	0.0	0.0	0.0	0.0	0.0	
NP_001000018.1	0.0	0.0	0.0	0.0	0.0	
NP_001000019.1	0.0	0.0	0.0	0.0	0.0	
NP_001000020.1	0.0	0.0	0.0	0.0	0.0	
NP_001000021.1	0.0	0.0	0.0	0.0	0.0	
NP_001000022.1	0.0	0.0	0.0	0.0	0.0	
NP_001000023.1	0.0	0.20995	0.161504	0.0	0.0	
NP_001000024.1	0.0	0.0	0.0	0.0	0.0	
NP_001000025.1	0.0	0.0	0.0	0.0	0.0	
NP_001000026.1	0.0	0.0	0.0	0.0	0.0	
NP_001000027.1	0.0	0.0	0.0	0.0	0.0	
NP_001000029.1	0.0	0.0	0.0	0.0	0.0	
NP_001000030.1	0.0	0.0	0.0	0.0	0.0	
NP_001000031.1	0.0	0.0	0.0	0.0	0.0	
NP_001000032.1	0.0	0.0	0.0	0.0	0.0	
NP_001000033.1	0.0	0.0	0.0	0.0	0.0	
NP_001000034.1	0.0	0.0	0.0	0.0	0.0	
NP_001000035.1	0.0	0.0	0.0	0.0	0.0	
NP_001000036.1	0.0	0.0	0.0	0.0	0.0	
NP_001000037.1	0.0	0.0	0.0	0.0	0.0	
NP_001000038.1	0.0	0.0	0.0	0.0	0.0	
NP_001000039.1	0.547246	0.145018	0.581363	0.24439	0.381525	
NP_001000040.1	0.109449	0.193358	1.25962	0.247216	0.190762	
NP_001000041.1	0.0	0.0	0.0	0.0	0.0	
NP_001000042.1	0.0	0.0	0.0	0.0	0.0	
NP_001000043.1	0.0	0.0	0.0	0.0	0.0	
NP_001000044.1	0.0	0.0	0.0	0.0	0.0	
NP_001000045.1	0.0	0.0	0.0	0.0	0.0	
NP_001000046.1	0.0	0.0	0.0	0.0	0.0	
NP_001000047.1	0.0	0.0	0.0	0.0	0.0	
NP_001000048.1	0.0	0.0	0.0	0.0	0.0	
NP_001000049.1	0.0	0.0	0.0	0.0	0.0	
NP_001000050.1	0.0	0.0243898	0.0140745	0.0	0.0	
NP_001000051.1	0.0	0.0	0.0	0.0	0.0	
NP_001000052.1	0.0	0.0	0.0	0.0	0.0	
NP_001000054.2	0.0	0.0	0.0	0.0	0.0	
NP_001000055.1	0.0	0.0	0.0	0.0	0.0	
NP_001000056.1	0.0	0.0	0.0	0.0	0.0	
NP_001000057.1	0.0	0.0	0.0	0.0	0.0	
NP_001000058.1	0.0	0.0	0.0	0.0	0.0	
NP_001000059.1	0.0	0.0	0.0	0.0	0.0	
NP_001000060.1	0.0	0.0	0.0	0.0	0.0	
NP_001000061.1	0.0	0.0	0.0	0.0	0.0	
NP_001000062.1	0.0	0.023027	0.0	0.0	0.0	
NP_001000063.1	0.0929822	0.0	0.0	0.0	0.0	
NP_001000064.1	0.0	0.0	0.0	0.0	0.0	
NP_001000065.1	0.0	0.0	0.0	0.0	0.0	
NP_001000066.1	0.0	0.0481224	0.0277678	0.122013	0.0	
NP_001000068.1	0.0	0.0	0.0	0.0	0.0	
NP_001000069.1	0.0	0.0	0.0	0.0	0.0	
NP_001000070.1	0.0	0.0	0.0	0.0	0.0	
NP_001000071.1	0.0	0.0	0.0	0.0	0.0	
NP_001000072.1	0.0	0.0	0.0	0.0	0.0	
NP_001000073.1	0.0	0.0	0.0	0.0	0.0	
NP_001000074.1	0.0	0.0	0.0	0.0	0.0	
NP_001000075.1	0.0	0.0	0.0	0.0	0.0	
NP_001000076.1	0.0	0.0	0.0	0.0	0.0	
