GeneID	Heart_rep1	Heart_rep2	Heart_rep3	Heart_rep4	Heart_rep5	Heart_rep6
NP_001000000.1	0.0	0.0	0.0	0.0	0.0	0.0
NP_001000001.1	0.460298	0.0466258	0.323653	0.0223209	0.111992	0.0571248
NP_001000002.1	0.0	0.0	0.0	0.0	0.0	0.0
NP_001000003.1	0.0	0.0	0.0	0.0	0.0	0.0
NP_001000004.1	0.0	0.0	0.0	0.0	0.0	0.0
NP_001000005.1	0.0	0.0	0.0	0.0	0.0	0.0
NP_001000006.1	0.0	0.0	0.0	0.0	0.0	0.0182974
NP_001000007.1	0.0757254	0.0	0.159721	0.0	0.0562549	0.0563607
NP_001000009.1	0.0	0.0	0.0	0.0	0.0	0.0
NP_001000010.1	0.0	0.0	0.0	0.0219217	0.0	0.0
NP_001000011.1	0.0	0.0	0.0	0.0	0.0	0.0
NP_001000012.1	0.0	0.0	0.0	0.0	0.0	0.0
NP_001000013.1	0.0	0.0	0.0	0.0	0.0	0.0
NP_001000014.1	0.0	0.0	0.0	0.0	0.0	0.0
NP_001000015.1	0.0	0.0	0.0	0.0	0.0	0.0
NP_001000016.1	0.0	0.0	0.0	0.0	0.0	0.0
NP_001000017.1	0.0	0.0	0.0	0.0	0.0	0.0
NP_001000018.1	0.0	0.0	0.0	0.0	0.0	0.0
NP_001000019.1	0.0	0.0	0.0	0.0	0.0	0.0
NP_001000020.1	0.0	0.0	0.0	0.0	0.0	0.0
NP_001000021.1	0.0	0.0	0.0	0.0	0.0	0.0
NP_001000022.1	0.0	0.0	0.0	0.0	0.0	0.0
NP_001000023.1	0.0	0.0	0.0	0.0	0.0	0.0
NP_001000024.1	0.0	0.0	0.0	0.0	0.0	0.0
NP_001000025.1	0.0	0.0	0.0	0.0	0.0	0.0
NP_001000026.1	0.0	0.0	0.0	0.0	0.0	0.0
NP_001000027.1	0.0	0.0	0.0	0.0	0.0	0.0
NP_001000029.1	0.0	0.0	0.0	0.0	0.0	0.0
NP_001000030.1	0.0	0.0	0.0	0.0	0.0	0.0
NP_001000031.1	0.0	0.0	0.0	0.0	0.0	0.0
NP_001000032.1	0.0	0.0	0.0	0.0	0.0	0.0
NP_001000033.1	0.0	0.0	0.0	0.0	0.0	0.0
NP_001000034.1	0.0	0.0	0.0	0.0	0.0	0.0
NP_001000035.1	0.0	0.0	0.0	0.0	0.0	0.0
NP_001000036.1	0.0	0.0	0.0	0.0	0.0	0.0
NP_001000037.1	0.0	0.0	0.0	0.0	0.0	0.0
NP_001000038.1	0.0	0.0	0.0	0.0	0.0	0.0
NP_001000039.1	0.0	0.0	0.0	0.0	0.0	0.0190416
NP_001000040.1	0.0	0.0	0.0	0.0	0.0	0.0
NP_001000041.1	0.0	0.0	0.0	0.0	0.0	0.0
NP_001000042.1	0.0	0.0	0.0	0.0	0.0	0.0
NP_001000043.1	0.0	0.0	0.0	0.0	0.0	0.0
NP_001000044.1	0.0	0.0	0.0	0.0	0.0	0.0
NP_001000045.1	0.0	0.0	0.0	0.0	0.0	0.0
NP_001000046.1	0.0	0.0	0.0	0.0	0.0	0.0
NP_001000047.1	0.0	0.0	0.0	0.0	0.0	0.0
NP_001000048.1	0.0	0.0	0.0	0.0	0.0	0.0
NP_001000049.1	0.0	0.0	0.0	0.0	0.0	0.0
NP_001000050.1	0.0	0.0	0.0	0.0	0.0	0.0
NP_001000051.1	0.0	0.0	0.0	0.0	0.0	0.0
NP_001000052.1	0.0	0.0	0.0	0.0	0.0	0.0
NP_001000054.2	0.0	0.0	0.0	0.133318	0.0	0.0379119
NP_001000055.1	0.0	0.0	0.0	0.0	0.0	0.0
NP_001000056.1	0.0	0.0	0.0	0.0	0.0	0.0
NP_001000057.1	0.0	0.0	0.0	0.0	0.0	0.0
NP_001000058.1	0.0	0.0	0.0	0.0	0.0	0.0
NP_001000059.1	0.0	0.0	0.0	0.0	0.0	0.0
NP_001000060.1	0.0	0.0	0.0	0.0	0.0	0.0
NP_001000061.1	0.0	0.0	0.0	0.0	0.0	0.0
NP_001000062.1	0.0	0.0	0.0	0.0	0.0	0.0
NP_001000063.1	0.0	0.0	0.0	0.0	0.0	0.0
NP_001000064.1	0.0	0.0	0.0	0.0	0.0	0.0
NP_001000065.1	0.0	0.0	0.0	0.0	0.0	0.0
NP_001000066.1	0.0763832	0.0464174	0.241678	0.0666592	0.111496	0.0189559
NP_001000068.1	0.0	0.0	0.0	0.0	0.0	0.0
NP_001000069.1	0.0	0.0	0.0	0.0	0.0	0.0
NP_001000070.1	0.0	0.0	0.0	0.0	0.0	0.0
NP_001000071.1	0.0	0.0	0.0	0.0	0.0	0.0
NP_001000072.1	0.0	0.0	0.0	0.0444395	0.0	0.0
NP_001000073.1	0.0	0.0	0.0	0.0	0.0	0.0
NP_001000074.1	0.0	0.0	0.0	0.0	0.0	0.0
NP_001000075.1	0.0	0.0	0.0	0.0	0.0	0.0
NP_001000076.1	0.0	0.0	0.0	0.0	0.0	0.0
NP_001000077.1	0.0	0.0	0.0	0.0	0.0	0.0
NP_001000078.1	0.0	0.0	0.0	0.0	0.0	0.0
NP_001000079.1	0.0	0.0	0.0	0.0	0.0	0.0
NP_001000080.1	0.0	0.0	0.0	0.0	0.0	0.0
NP_001000081.1	0.0757254	0.276038	0.0	0.308282	0.0552589	0.169082
NP_001000083.1	0.0	0.0464174	0.0805593	0.0222197	0.0	0.0
NP_001000084.1	0.0	0.0	0.0	0.0	0.0	0.0
NP_001000085.1	0.0	0.0	0.0	0.0	0.0	0.0
NP_001000086.1	0.0	0.0	0.0	0.0	0.0	0.0
NP_001000087.1	0.0	0.0	0.0	0.0	0.0	0.0
NP_001000088.1	0.0	0.0	0.0	0.0	0.0	0.0
NP_001000089.1	0.0	0.0	0.0	0.0	0.0	0.0
NP_001000090.1	0.0	0.0	0.0	0.0	0.0	0.0
NP_001000091.1	0.0	0.0	0.0	0.0	0.0	0.0
NP_001000092.1	0.0	0.0	0.0	0.0	0.0	0.0
NP_001000093.1	0.0	0.0	0.0	0.0	0.0	0.0
NP_001000094.1	0.0	0.0	0.0	0.0	0.0	0.0
NP_001000096.1	0.0	0.0	0.0	0.0	0.0	0.0
NP_001000097.1	0.0	0.0	0.0	0.0	0.0	0.0
NP_001000099.1	0.0760529	0.0	0.0	0.0	0.0555024	0.0
NP_001000100.1	0.22333	0.0	0.0	0.0	0.0	0.0
NP_001000102.2	0.0	0.0	0.0	0.0	0.0	0.0
NP_001000103.1	0.0	0.0	0.0	0.0	0.0	0.0
NP_001000104.1	0.0	0.0	0.0	0.0	0.0	0.0
NP_001000105.1	0.0	0.0	0.0	0.0	0.0	0.0
NP_001000106.1	0.0	0.0	0.0	0.0	0.0	0.0
NP_001000107.2	0.0	0.0	0.0	0.0	0.0	0.0
NP_001000108.1	0.0	0.0	0.0	0.0	0.0152875	0.0
NP_001000109.1	0.0	0.0	0.0	0.0	0.0	0.0
NP_001000110.1	0.0	0.0	0.0	0.0	0.0	0.0
NP_001000111.1	0.0	0.0	0.0	0.0	0.0	0.0
NP_001000112.1	0.0	0.0	0.0	0.0	0.0	0.0
NP_001000113.1	0.0	0.0	0.0	0.0	0.0	0.0
NP_001000114.1	0.0	0.0	0.0	0.0	0.0	0.0
NP_001000116.1	0.0	0.0	0.0	0.0	0.0	0.0
NP_001000117.1	0.0	0.0	0.0	0.0	0.0	0.0
NP_001000118.1	0.0	0.0	0.0	0.0	0.0	0.0
NP_001000119.1	0.0	0.0	0.0	0.0	0.0	0.0
NP_001000120.1	0.0	0.0	0.0	0.0	0.0	0.0
NP_001000122.1	0.0	0.0	0.0	0.0	0.0	0.0
NP_001000123.1	0.0	0.0	0.0	0.0	0.0	0.0
NP_001000124.1	0.0	0.0	0.0	0.0	0.0	0.0
NP_001000125.1	0.0	0.0	0.0	0.0	0.0	0.0
NP_001000126.1	0.0	0.0	0.0	0.0	0.0	0.0
NP_001000127.1	0.0	0.0	0.0	0.0	0.0	0.0
NP_001000128.1	0.0	0.0	0.0	0.0	0.0	0.0
NP_001000129.1	0.0246061	0.0	0.0	0.0	0.0	0.0
NP_001000130.1	0.150158	0.228012	0.237544	0.196417	0.164335	0.130346
NP_001000131.1	0.0	0.0	0.0	0.0	0.0	0.0
NP_001000132.1	0.0	0.0472622	0.0	0.0	0.0	0.0
NP_001000133.1	0.0	0.0	0.0	0.0	0.0	0.0
NP_001000134.1	0.0	0.0	0.0	0.0	0.0	0.0
NP_001000135.1	0.0	0.0	0.0	0.0	0.0	0.0
NP_001000136.1	0.0	0.0	0.0	0.0	0.0	0.0
NP_001000137.1	0.0	0.0	0.0	0.0	0.0	0.0
NP_001000138.1	0.0	0.0	0.0	0.0	0.0	0.0
NP_001000139.1	0.0	0.0	0.0	0.0	0.0	0.0
NP_001000140.1	0.0	0.0	0.0	0.0	0.0	0.0
NP_001000141.1	0.0	0.0	0.0	0.0	0.0	0.0
NP_001000143.1	0.0	0.0	0.0	0.0	0.0	0.0
NP_001000144.1	0.0	0.0	0.0	0.0	0.0	0.0
NP_001000145.1	0.0	0.0	0.0	0.0	0.0	0.0
NP_001000146.1	0.0	0.0	0.0	0.0	0.0	0.0
NP_001000147.1	0.0	0.0	0.0	0.0	0.0	0.0
NP_001000148.1	0.0	0.0	0.0	0.0	0.0	0.0
NP_001000149.1	0.0	0.0	0.0	0.0	0.0	0.0
NP_001000150.1	0.0	0.0	0.0	0.0	0.0	0.0
NP_001000151.1	0.0	0.0	0.0	0.0	0.0	0.0
NP_001000152.1	0.0	0.0	0.0	0.0	0.0	0.0
NP_001000153.1	0.0	0.0	0.0	0.0	0.0	0.0
NP_001000154.1	0.0	0.0	0.0	0.0	0.0	0.0
NP_001000155.1	0.0	0.0	0.0	0.0	0.0	0.0
NP_001000156.1	0.0	0.0	0.0	0.0	0.0	0.0
NP_001000157.1	0.0	0.0	0.0	0.0	0.0	0.0
NP_001000158.1	0.0	0.0	0.0	0.0	0.0	0.0
NP_001000159.1	0.0	0.0	0.0	0.0	0.0	0.0
NP_001000160.1	0.0	0.0	0.0	0.0	0.0	0.0
NP_001000161.1	0.0	0.0	0.0	0.0	0.0	0.0
NP_001000162.1	0.0	0.0	0.0	0.0	0.0	0.0
NP_001000163.1	0.0	0.0	0.0	0.0	0.0	0.0
NP_001000164.1	0.0	0.0	0.0	0.0	0.0	0.0
NP_001000165.1	0.0	0.0	0.0	0.0	0.0	0.0
NP_001000166.1	0.0	0.0	0.0	0.0	0.0	0.0
NP_001000167.1	0.0	0.0	0.0	0.0	0.0	0.0
NP_001000168.1	0.0	0.0	0.0	0.0	0.0	0.0
NP_001000169.1	0.0	0.0	0.0	0.0	0.0	0.0
NP_001000170.1	0.0	0.0	0.0	0.0	0.0	0.0
NP_001000171.1	0.0	0.0	0.0	0.0	0.0	0.0
NP_001000172.1	0.0	0.0	0.0	0.0	0.0	0.0
NP_001000174.1	0.0	0.0	0.0	0.0	0.0	0.0
NP_001000175.1	0.0	0.0	0.0	0.0	0.0	0.0
NP_001000176.1	0.0	0.0	0.0	0.0	0.0	0.0
NP_001000177.1	0.0	0.0	0.0	0.0	0.0	0.0
NP_001000178.1	0.0	0.0	0.0	0.0	0.0	0.0
NP_001000179.1	0.0	0.0	0.0	0.0	0.0	0.0
NP_001000180.1	0.0	0.0	0.0	0.0	0.0	0.0
NP_001000181.1	0.0	0.0	0.0	0.0	0.0	0.0
NP_001000182.1	0.0	0.0	0.0	0.0	0.0	0.0
NP_001000183.1	0.0	0.0	0.0	0.0	0.0	0.0
NP_001000184.1	0.0	0.0	0.0	0.0	0.0	0.0
NP_001000185.1	0.0	0.0	0.0	0.0	0.0	0.0
