dataset,n_vectors,n_dimensions,eps,min_samples,knee_index,evaluation_quantile,evaluation_radius,n_clusters,n_noise,n_clustered,internal_coherence,coverage,clustering_quality,optimization_seconds,clustering_seconds,quality_seconds,total_seconds,status,error
bifurcation_2way_noise_high,500,2,0.10691386643681919,4,449,0.15,0.2099250463948295,2,37,463,0.9667887228578587,0.926,0.9459548723585741,0.0021904220047872514,0.0014187609995133244,0.0019067309985985048,0.005659252004988957,ok,
bifurcation_2way_noise_low,500,2,0.02934441567180963,4,455,0.15,0.14437171889260536,9,19,481,0.7066147466466569,0.962,0.8147637285840548,0.0011073189962189645,0.0012665199974435382,0.0016621469985693693,0.00416519300051732,ok,
bifurcation_2way_noise_medium,500,2,0.06335291156863682,4,445,0.15,0.16431585438895818,3,28,472,0.8851170842100745,0.944,0.9136107630366948,0.0011763449947466142,0.0013488510012393817,0.0018786650034599006,0.004526329001237173,ok,
bifurcation_3way_noise_high,500,2,0.10415087054299085,4,431,0.15,0.2258264496395394,5,45,455,0.9006040152744555,0.91,0.9052776277816056,0.0011318350007059053,0.0015519690059591085,0.0019288830008008517,0.004732163004518952,ok,
bifurcation_3way_noise_low,500,2,0.031847456949856155,4,428,0.15,0.15379708063700293,17,19,481,0.5689751603249539,0.962,0.7150398235284603,0.0011461710018920712,0.0017362270009471104,0.001863016004790552,0.00489144599850988,ok,
bifurcation_3way_noise_medium,500,2,0.0658891787058945,4,429,0.15,0.16358770126827832,4,32,468,0.8817454453703636,0.936,0.9080630502677491,0.0012117010046495125,0.0014096559971221723,0.0018303300021216273,0.004566428004181944,ok,
circular_arc_noise_high,500,2,0.09424140125238599,4,449,0.15,0.25455057799214903,2,26,474,0.9395144716834879,0.948,0.9437381620301545,0.0014412469972739927,0.0015245120011968538,0.0019641170001705177,0.00505045399768278,ok,
circular_arc_noise_low,500,2,0.022559432026594158,4,421,0.15,0.18199412971222623,11,20,480,0.45548272256789984,0.96,0.6178293902053736,0.0012777849988196976,0.0011394290049793199,0.0015863600056036375,0.004116593998332974,ok,
circular_arc_noise_medium,500,2,0.050346233563724335,4,439,0.15,0.2074848161782871,5,32,468,0.6854333463618373,0.936,0.791356133922151,0.0011178710046806373,0.0012149760004831478,0.001787058004993014,0.004228047997457907,ok,
cubic_noise_high,500,2,0.08272522766713317,4,427,0.15,0.5476083230883362,19,33,467,0.5040048507537469,0.934,0.6547134112339823,0.00110908300121082,0.0015051070004119538,0.002183347001846414,0.004924484004732221,ok,
cubic_noise_low,500,2,0.06844903442836736,4,428,0.15,0.5382384173566812,13,43,457,0.6616683138187106,0.914,0.7676296255074443,0.0009619449992896989,0.0011497009982122108,0.0016344380055670626,0.0038511939928866923,ok,
cubic_noise_medium,500,2,0.057969462505437844,4,399,0.15,0.5248553416587505,25,66,434,0.3769142061768536,0.868,0.5255969115594333,0.0009926499988068826,0.0011576780016184784,0.0016603740004939027,0.003925165001419373,ok,
exponential_noise_high,500,2,0.09375497398581831,4,451,0.15,0.5965232942241294,12,16,484,0.5685338982783312,0.968,0.7163406081051322,0.001095704996259883,0.0016092419973574579,0.0021776119974674657,0.004998716998670716,ok,
exponential_noise_low,500,2,0.03845345353594994,4,380,0.15,0.5781123997494532,14,104,396,0.36400752297404215,0.792,0.4987752284755936,0.0014597839981433935,0.001527366999653168,0.0016911150014493614,0.004794978995050769,ok,
exponential_noise_medium,500,2,0.06820760831186842,4,438,0.15,0.5982057199088577,13,43,457,0.544845132151694,0.914,0.6827159920013584,0.0011699870010488667,0.0016576449997955933,0.0018377919986960478,0.004793697000422981,ok,
heteroscedastic_noise_high,500,2,0.06948148774233341,4,451,0.15,0.22195899071812128,3,27,473,0.90505802482921,0.946,0.9250762320834643,0.0015112109977053478,0.0013277329999255016,0.0018140739994123578,0.0047670239946455695,ok,
heteroscedastic_noise_low,500,2,0.03815282874434218,4,469,0.15,0.1613204977373611,2,11,489,0.9582146894919373,0.978,0.9680062561337334,0.0012154760042903945,0.001328797996393405,0.0023158699987106957,0.004977803000656422,ok,
heteroscedastic_noise_medium,500,2,0.05660506481994822,4,473,0.15,0.1737309070327638,1,11,489,0.990554031113375,0.978,0.9842369852362836,0.0010103019958478399,0.00133431200083578,0.0020530179972411133,0.004511304003244732,ok,
