parameter,value,best_count,worst_count
mean_dist_quant,0.05,0,30
mean_dist_quant,0.1625,0,0
mean_dist_quant,0.275,3,0
mean_dist_quant,0.3875,0,0
mean_dist_quant,0.5,27,0
k_seeding,15.0,3,0
k_seeding,25.0,0,0
k_seeding,35.0,0,0
k_seeding,45.0,0,5
k_seeding,55.0,27,25
alpha_mad,0.25,0,30
alpha_mad,0.4375,0,0
alpha_mad,0.625,0,0
alpha_mad,0.8125,18,0
alpha_mad,1.0,12,0
alpha_accept,0.25,9,8
alpha_accept,0.4375,10,7
alpha_accept,0.625,4,5
alpha_accept,0.8125,2,5
alpha_accept,1.0,5,5
min_intersection,1.0,8,6
min_intersection,2.0,5,6
min_intersection,3.0,6,6
min_intersection,4.0,6,6
min_intersection,5.0,5,6
