vector_index,x,y_original,cluster_id,max_posterior,posterior_component_1,posterior_component_2,posterior_component_3,posterior_component_4,posterior_component_5,posterior_component_6,posterior_component_7,posterior_component_8,posterior_component_9,posterior_component_10
1,-1.0,-0.9808690107642546,8,0.5615799485625339,4.922599362112739e-05,0.0,0.0,8.681260203733926e-51,0.43223205914615015,0.0061357979730070535,0.0,0.5615799485625339,0.0,2.968324687841768e-06
2,-0.987878787878788,-0.9959783183584904,8,0.7592699010033509,4.249983283053201e-05,0.0,0.0,5.290309689526736e-57,0.23538770425002853,0.005297317298177807,0.0,0.7592699010033509,0.0,2.5776156121727316e-06
3,-0.9757575757575756,-0.9297606164883744,8,0.6455832953099601,7.981800922390425e-05,0.0,0.0,3.8602915930848124e-49,0.34691128393748283,0.00742124929008149,0.0,0.6455832953099601,0.0,4.353453251720165e-06
4,-0.9636363636363636,-0.9205867279977072,8,0.6927784194709511,5.66924614872748e-05,0.0,0.0,6.410803250914059e-51,0.30231281200815935,0.00484905137668292,0.0,0.6927784194709511,0.0,3.024682719444466e-06
5,-0.9515151515151516,-0.8926758877497616,8,0.7058300719906491,7.581700458229336e-05,0.0,0.0,1.1053865542125458e-49,0.2885861463320117,0.00550409726172427,0.0,0.7058300719906491,0.0,3.867411032605891e-06
6,-0.9393939393939394,-0.88392255485748,8,0.7800434455718858,6.990378049008699e-05,0.0,0.0,1.1577314136524482e-51,0.21519726865596317,0.004685870865458357,0.0,0.7800434455718858,0.0,3.5111262026235887e-06
7,-0.9272727272727272,-0.8671419506303827,8,0.8285397787400373,8.41977293600451e-05,0.0,0.0,2.362490714570336e-52,0.1663456152460486,0.005026276551884342,0.0,0.8285397787400373,0.0,4.131732669644084e-06
8,-0.9151515151515152,-0.8010631736856639,8,0.7035763618676749,0.00037612587617109856,0.0,0.0,6.999812316926066e-45,0.2806216058183938,0.015408951566963836,0.0,0.7035763618676749,0.0,1.6954870796464844e-05
9,-0.9030303030303032,-0.8109953516716757,8,0.7936574125278486,0.00013721732173976926,0.0,0.0,1.1793607590698684e-49,0.20044400315236777,0.005755063564575393,0.0,0.7936574125278486,0.0,6.303433468427866e-06
10,-0.8909090909090909,-0.7900368833496589,8,0.8062898219998581,0.0001728068077089027,0.0,0.0,1.4634831630824424e-49,0.18726063853357847,0.00626894037434137,0.0,0.8062898219998581,0.0,7.792284513247737e-06
11,-0.8787878787878788,-0.7591784989333538,8,0.7561720486904087,0.00024710278065736424,0.0,0.0,9.823481273570593e-48,0.23627859547456304,0.007291413941668641,0.0,0.7561720486904087,0.0,1.0839112702344999e-05
12,-0.8666666666666667,-0.7294728906789746,8,0.7027380297267696,0.0003737651208405097,0.0,0.0,3.8223563142359516e-46,0.28790808618713915,0.008964088552084087,0.0,0.7027380297267696,0.0,1.6030413166727154e-05
13,-0.8545454545454545,-0.729707411625298,8,0.8463940134638811,0.00041484432656844935,0.0,0.0,9.355706918249568e-50,0.14340437586442153,0.009768659874763152,0.0,0.8463940134638811,0.0,1.8106470365725304e-05
14,-0.8424242424242424,-0.696145914732623,8,0.7520313707808381,0.0005647853959729868,0.0,0.0,2.396041519538884e-47,0.2368933099898156,0.010486376175828668,0.0,0.7520313707808381,0.0,2.4157657544626633e-05
15,-0.8303030303030303,-0.6729667020841817,8,0.7251115627261863,0.0007873687559280423,0.0,0.0,7.862673821401586e-47,0.2617843903917811,0.012283142827795775,0.0,0.7251115627261863,0.0,3.353529830877703e-05
16,-0.8181818181818181,-0.6194580302714993,5,0.5429517201686752,0.002095398957251003,0.0,0.0,2.0093189100567054e-41,0.5429517201686752,0.02181663174984146,0.0,0.43305017327753914,0.0,8.60758466931436e-05
17,-0.806060606060606,-0.6298404634812098,8,0.6849593290837059,0.0016045010433646404,0.0,0.0,2.307899532023104e-46,0.29544016262294637,0.01792729585330686,0.0,0.6849593290837059,0.0,6.87113966762524e-05
18,-0.793939393939394,-0.622994145033949,8,0.8211150159476688,0.003068438983123723,0.0,0.0,6.249427678603103e-49,0.143309917341571,0.03237202701249277,0.0,0.8211150159476688,0.0,0.00013460071514374594
19,-0.7818181818181819,-0.6029782548944868,8,0.8143619057218556,0.005098553147689973,0.0,0.0,4.955956638448069e-49,0.13435392885013728,0.04595914329135473,0.0,0.8143619057218556,0.0,0.00022646898896247475
20,-0.7696969696969697,-0.5688015420874537,8,0.6385143934964436,0.005841277895848575,0.0,0.0,2.460633175899944e-46,0.31537083873643573,0.04001383068458607,0.0,0.6385143934964436,0.0,0.0002596591866860488
21,-0.7575757575757576,-0.4879207510945529,5,0.8524618782300947,0.01274308834451241,0.0,0.0,7.635988212599222e-37,0.8524618782300947,0.04330061177590823,0.0,0.09095328101264549,0.0,0.0005411406368391782
22,-0.7454545454545455,-0.4905849589194099,5,0.839964034969682,0.006451164216596721,0.0,0.0,5.020906822869054e-40,0.839964034969682,0.022600977580691968,0.0,0.1306963545101843,0.0,0.0002874687228450114
23,-0.7333333333333334,-0.4566416849305227,5,0.9092359983602182,0.008728707013804926,0.0,0.0,5.24287242717205e-38,0.9092359983602182,0.022471774064835498,0.0,0.05916971931530999,0.0,0.0003938012458313694
