vector_index,x,y_original,cluster_id,max_posterior,posterior_component_1,posterior_component_2,posterior_component_3
1,-1.0,0.6125771642900502,2,0.9998638717964163,0.0001361282035836649,0.9998638717964163,1.118733718455872e-30
2,-0.995991983967936,0.4204679745389794,2,0.9999996835365551,3.1646344495411646e-07,0.9999996835365551,1.6709836861288696e-40
3,-0.9919839679358716,0.5552393864703659,2,0.9999791011822796,2.0898817720383128e-05,0.9999791011822796,2.2126054611366165e-33
4,-0.9879759519038076,0.4134097808345445,2,0.9999997064837012,2.935162989015334e-07,0.9999997064837012,1.5109363387864893e-40
5,-0.9839679358717436,0.6110874882308361,2,0.9998615417224394,0.00013845827756068745,0.9998615417224394,2.842319463189155e-30
6,-0.9799599198396792,0.5080457973650919,2,0.999994712168216,5.287831783988247e-06,0.999994712168216,2.1880745361778502e-35
7,-0.9759519038076152,0.6329946964494109,2,0.9997018009469232,0.00029819905307683445,0.9997018009469232,6.286786812685924e-29
8,-0.9719438877755512,0.573626174932763,2,0.9999562836601764,4.3716339823536436e-05,0.9999562836601764,8.548328295595101e-32
9,-0.9679358717434868,0.4392471426508355,2,0.9999991681861238,8.318138761209597e-07,0.9999991681861238,1.9777640548615413e-38
10,-0.9639278557114228,0.653853048955186,2,0.9993776546029041,0.000622345397095946,0.9993776546029041,1.5219531993502848e-27
11,-0.9599198396793588,0.6667469575673463,2,0.9990326422208259,0.0009673577791740433,0.9990326422208259,8.532287522089075e-27
12,-0.9559118236472944,0.6159811728141675,2,0.9998141129429505,0.00018588705704943557,0.9998141129429505,3.456155299090615e-29
13,-0.9519038076152304,0.4872085283290419,2,0.9999959996677377,4.0003322623096e-06,0.9999959996677377,2.0082700264094825e-35
14,-0.9478957915831664,0.5263781088873483,2,0.9999871291660808,1.2870833919206892e-05,0.9999871291660808,2.397607782654194e-33
15,-0.9438877755511024,0.5652034114348364,2,0.9999580342002151,4.196579978488645e-05,0.9999580342002151,2.6216794868731114e-31
16,-0.939879759519038,0.4999687304436043,2,0.9999933362816313,6.663718368632405e-06,0.9999933362816313,2.324375293849348e-34
17,-0.935871743486974,0.6943359154260015,2,0.9974964678280962,0.002503532171903841,0.9974964678280962,8.134173977612493e-25
18,-0.93186372745491,0.5731632137536603,2,0.9999412200631312,5.877993686872713e-05,0.9999412200631312,1.559285896413287e-30
19,-0.9278557114228456,0.3480044189410393,2,0.9999998275147959,1.7248520398220524e-07,0.9999998275147959,2.6762216529816125e-41
20,-0.9238476953907816,0.594062136789921,2,0.9998842571829283,0.00011574281707169645,0.9998842571829283,2.8077752735671006e-29
21,-0.9198396793587176,0.5416887144023381,2,0.9999731940385275,2.6805961472556134e-05,0.9999731940385275,1.1975590091672345e-31
22,-0.9158316633266532,0.5661610251978499,2,0.999944652464624,5.534753537601084e-05,0.999944652464624,2.3697345914327574e-30
23,-0.9118236472945892,0.545265637853713,2,0.9999677818587033,3.221814129667154e-05,0.9999677818587033,3.292165209178021e-31
