vector_index,x,y_original,cluster_id,max_posterior,posterior_component_1,posterior_component_2,posterior_component_3,posterior_component_4,posterior_component_5,posterior_component_6,posterior_component_7
1,-1.0,-1.004673784841589,3,0.9284316153973551,0.044654360638685005,0.0,0.9284316153973551,1.4045730124875974e-05,0.026899978233835185,0.0,1.72023471432338e-291
2,-0.987878787878788,-1.1230828250763407,3,0.965678702989184,0.010024284832641712,0.0,0.965678702989184,4.562687075061207e-06,0.02429244949109927,0.0,9.1417874946606e-269
3,-0.9757575757575756,-0.861227626116865,3,0.807013742030623,0.07049583291725829,0.0,0.807013742030623,0.0002092432267179372,0.12228118182540061,0.0,1.2584433909793883e-305
4,-0.9636363636363636,-1.1479010176365168,3,0.9197853216746289,0.0034683366294504204,0.0,0.9197853216746289,1.095936314664994e-05,0.076735382332774,0.0,2.372682746582661e-256
5,-0.9515151515151516,-1.0617605483709118,3,0.9526207723073604,0.00864398377445975,0.0,0.9526207723073604,1.0917521019654885e-05,0.03872432639716016,0.0,1.7107014138414586e-265
6,-0.9393939393939394,-0.8366014724294252,3,0.8836331361709414,0.05563193477380797,0.0,0.8836331361709414,0.00011840059166393228,0.06061652846358664,0.0,8.446276072891469e-297
7,-0.9272727272727272,-0.8123797586512053,3,0.8822968647136524,0.055132860059033596,0.0,0.8822968647136524,0.00014759060111053612,0.06242268462620349,0.0,2.0305860678435103e-296
8,-0.9151515151515152,-0.8813094189332332,3,0.9385539099277874,0.028737079748036288,0.0,0.9385539099277874,4.017391432072788e-05,0.03266883640985547,0.0,3.65324872411656e-281
9,-0.9030303030303032,-0.7942348388363466,3,0.9058979766928992,0.04630314122695623,0.0,0.9058979766928992,0.0001256797030810072,0.04767320237706355,0.0,8.077025091511201e-291
10,-0.8909090909090909,-0.984332585480422,3,0.8740561221377959,0.004923593825242743,0.0,0.8740561221377959,5.611303488134733e-05,0.12096417100207976,0.0,2.855466983757875e-256
11,-0.8787878787878788,-0.7010177204181096,3,0.8605557708826089,0.05858489300563286,0.0,0.8605557708826089,0.0004800713835478382,0.0803792647282103,0.0,2.43087067751878e-297
12,-0.8666666666666667,-0.7133552943690457,3,0.8949022323708095,0.0497416830415757,0.0,0.8949022323708095,0.0002847063624340078,0.05507137822518076,0.0,4.37029239798501e-291
13,-0.8545454545454545,-0.7127423373576126,3,0.9081107080360395,0.04386281129568093,0.0,0.9081107080360395,0.00024181568700199638,0.04778466498127752,0.0,6.324864422639621e-287
14,-0.8424242424242424,-0.6831811662774631,3,0.9032360944250717,0.04627656667031856,0.0,0.9032360944250717,0.00032791862660384164,0.050159420278005955,0.0,1.8364696754826882e-287
15,-0.8303030303030303,-0.6211457265106181,3,0.8745675910733748,0.05769293843101557,0.0,0.8745675910733748,0.0007793120893738374,0.06696015840623576,0.0,2.5488392980227866e-293
16,-0.8181818181818181,-0.6386757582434651,3,0.9014235131348685,0.04752524169300638,0.0,0.9014235131348685,0.00048312947547205675,0.050568115696653086,0.0,3.4238775213841707e-286
17,-0.806060606060606,-0.7620456523397097,3,0.8829554549205143,0.012933608360042252,0.0,0.8829554549205143,0.0002943571337970415,0.10381657958564644,0.0,7.670218544144823e-262
18,-0.793939393939394,-0.412172209116986,3,0.4961652872390784,0.05262193401969766,0.0,0.4961652872390784,0.03723765682247138,0.4139751219187527,3.279365e-317,3.071091057e-315
19,-0.7818181818181819,-0.4675722980820876,3,0.8008619569008252,0.07487984006296176,0.0,0.8008619569008252,0.005866416522300689,0.1183917865139124,1.65e-321,1.2712820621591909e-301
20,-0.7696969696969697,-0.6421895123503256,3,0.9023867996557855,0.025346965894882036,0.0,0.9023867996557855,0.0005963966704213047,0.07166983777891116,0.0,1.6070514324314812e-268
21,-0.7575757575757576,-0.5427624935896423,3,0.8997473437367308,0.04925153959035669,0.0,0.8997473437367308,0.0010944641074162515,0.04990665256549624,0.0,1.2740419223169672e-280
