x	y_span_0.1
  0.000000	   0.1769528387
  0.049749	   0.2998658570
  0.099497	   0.4088274425
  0.149246	   0.5044924509
  0.198995	   0.5874597367
  0.248744	   0.6582225096
  0.298492	   0.7168420234
  0.348241	   0.7624365339
  0.397990	   0.7912433634
  0.447739	   0.8022133880
  0.497487	   0.8229408986
  0.547236	   0.8387532459
  0.596985	   0.8759758015
  0.646734	   0.9093596134
  0.696482	   0.9603701738
  0.746231	   1.0063779709
  0.795980	   1.0528923289
  0.845729	   1.0916200623
  0.895477	   1.1091854761
  0.945226	   1.1162891208
  0.994975	   1.0871507191
  1.044724	   1.0470234628
  1.094472	   0.9703319454
  1.144221	   0.8856000002
  1.193970	   0.7800490944
  1.243719	   0.6727276397
  1.293467	   0.5702042070
  1.343216	   0.4737429278
  1.392965	   0.4067336334
  1.442714	   0.3524556383
  1.492462	   0.3408531894
  1.542211	   0.3449474508
  1.591960	   0.3881965368
  1.641709	   0.4452117840
  1.691457	   0.5232969522
  1.741206	   0.6090957308
  1.790955	   0.6918321362
  1.840704	   0.7745911862
  1.890452	   0.8349033449
  1.940201	   0.8890349718
  1.989950	   0.9141380566
  2.039698	   0.9306938986
  2.089447	   0.9261339534
  2.139196	   0.9149516857
  2.188945	   0.8998207136
  2.238693	   0.8825872335
  2.288442	   0.8783432835
  2.338191	   0.8760366752
  2.387940	   0.8943222366
  2.437688	   0.9151436727
  2.487437	   0.9504412354
  2.537186	   0.9841104516
  2.586935	   1.0148035816
  2.636683	   1.0360770713
  2.686432	   1.0335563353
  2.736181	   1.0134515528
  2.785930	   0.9551384744
  2.835678	   0.8746682749
  2.885427	   0.7549694460
  2.935176	   0.6149428105
  2.984925	   0.4490496198
  3.034673	   0.2712717813
  3.084422	   0.0899711898
  3.134171	  -0.0908477776
  3.183920	  -0.2530884776
  3.233668	  -0.4030935078
  3.283417	  -0.5214468070
  3.333166	  -0.6208130469
  3.382915	  -0.6888804619
  3.432663	  -0.7384386218
  3.482412	  -0.7686784691
  3.532161	  -0.7870960235
  3.581910	  -0.8029077006
  3.631658	  -0.8159446370
  3.681407	  -0.8392433747
  3.731156	  -0.8662854185
  3.780905	  -0.9064289925
  3.830653	  -0.9507286430
  3.880402	  -0.9999693566
  3.930151	  -1.0472224754
  3.979899	  -1.0847803022
  4.029648	  -1.1106847031
  4.079397	  -1.1134978575
  4.129146	  -1.0966562423
  4.178894	  -1.0517316768
  4.228643	  -0.9856931208
  4.278392	  -0.8981992125
  4.328141	  -0.7967935776
  4.377889	  -0.6899714413
  4.427638	  -0.5832149924
  4.477387	  -0.4899424944
  4.527136	  -0.4122156099
  4.576884	  -0.3619079598
  4.626633	  -0.3377497391
  4.676382	  -0.3444487811
  4.726131	  -0.3784648805
  4.775879	  -0.4354564522
  4.825628	  -0.5109513034
  4.875377	  -0.5942907457
  4.925126	  -0.6811947680
  4.974874	  -0.7604747256
  5.024623	  -0.8288345819
  5.074372	  -0.8802555104
  5.124121	  -0.9130069889
  5.173869	  -0.9288115306
  5.223618	  -0.9279521078
  5.273367	  -0.9180142566
  5.323116	  -0.9014437242
  5.372864	  -0.8864606570
  5.422613	  -0.8771780596
  5.472362	  -0.8768082604
  5.522111	  -0.8897617069
  5.571859	  -0.9113903445
  5.621608	  -0.9443759846
  5.671357	  -0.9778893247
  5.721106	  -1.0109706014
  5.770854	  -1.0321234034
  5.820603	  -1.0359984834
  5.870352	  -1.0169526487
  5.920101	  -0.9664402713
  5.969849	  -0.8886889784
  6.019598	  -0.7750361282
  6.069347	  -0.6387614735
  6.119095	  -0.4749645174
  6.168844	  -0.3004532949
  6.218593	  -0.1170033588
  6.268342	   0.0626536801
  6.318090	   0.2297476997
  6.367839	   0.3814760993
  6.417588	   0.5049498796
  6.467337	   0.6083186750
  6.517085	   0.6797179402
  6.566834	   0.7337609674
  6.616583	   0.7648087584
  6.666332	   0.7860983914
  6.716080	   0.8009374494
  6.765829	   0.8139830042
  6.815578	   0.8361212707
  6.865327	   0.8606724246
  6.915075	   0.9008986921
  6.964824	   0.9421195914
  7.014573	   0.9931393195
  7.064322	   1.0392426258
  7.114070	   1.0795605282
  7.163819	   1.1079881532
  7.213568	   1.1131554518
  7.263317	   1.1023833192
  7.313065	   1.0582102696
  7.362814	   0.9995948712
  7.412563	   0.9109594497
  7.462312	   0.8149710032
  7.512060	   0.7058902907
  7.561809	   0.5996343266
  7.611558	   0.5043512447
  7.661307	   0.4212938718
  7.711055	   0.3703503644
  7.760804	   0.3367806856
  7.810553	   0.3444190429
  7.860302	   0.3687297375
  7.910050	   0.4273739632
  7.959799	   0.4969941259
  8.009548	   0.5812893889
  8.059296	   0.6686281227
  8.109045	   0.7470926223
  8.158794	   0.8217455817
  8.208543	   0.8705865645
  8.258291	   0.9122147013
  8.308040	   0.9249148118
  8.357789	   0.9309395736
  8.407538	   0.9192657761
  8.457286	   0.9039627229
  8.507035	   0.8901194194
  8.556784	   0.8757062839
  8.606533	   0.8795325118
  8.656281	   0.8835788288
  8.706030	   0.9110154315
  8.755779	   0.9362165537
  8.805528	   0.9746547842
  8.855276	   1.0059118515
  8.905025	   1.0287733419
  8.954774	   1.0391070118
  9.004523	   1.0176312036
  9.054271	   0.9803113483
  9.104020	   0.8970950075
  9.153769	   0.7984177063
  9.203518	   0.6563727816
  9.253266	   0.5031384221
  9.303015	   0.3256221892
  9.352764	   0.1437523777
  9.402513	  -0.0342987826
  9.452261	  -0.2095168931
  9.502010	  -0.3549249321
  9.551759	  -0.4761584147
  9.601508	  -0.5775992639
  9.651256	  -0.6607577674
  9.701005	  -0.7255960956
  9.750754	  -0.7718416913
  9.800503	  -0.7992276004
  9.850251	  -0.8075708890
  9.900000	  -0.7967904810
