x	y_span_0.5
  0.000000	   0.4132376411
  0.049749	   0.4482366082
  0.099497	   0.4820639466
  0.149246	   0.5147206059
  0.198995	   0.5462071738
  0.248744	   0.5765235974
  0.298492	   0.6056688046
  0.348241	   0.6336408959
  0.397990	   0.6604368712
  0.447739	   0.6860529146
  0.497487	   0.7104842429
  0.547236	   0.7337253100
  0.596985	   0.7557697090
  0.646734	   0.7766102833
  0.696482	   0.7962389975
  0.746231	   0.8146470182
  0.795980	   0.8318244934
  0.845729	   0.8477606706
  0.895477	   0.8624435755
  0.945226	   0.8758602015
  0.994975	   0.8879961458
  1.044724	   0.8988358602
  1.094472	   0.9083623814
  1.144221	   0.9165575932
  1.193970	   0.9234022419
  1.243719	   0.9288761372
  1.293467	   0.9329586394
  1.343216	   0.9356287233
  1.392965	   0.9368660381
  1.442714	   0.9366507920
  1.492462	   0.9349653338
  1.542211	   0.9317938953
  1.591960	   0.9271244910
  1.641709	   0.9209486746
  1.691457	   0.9132635004
  1.741206	   0.9040715834
  1.790955	   0.8933829990
  1.840704	   0.8812160817
  1.890452	   0.8675994957
  1.940201	   0.8525744114
  1.989950	   0.8361975557
  2.039698	   0.8185457438
  2.089447	   0.7997213423
  2.139196	   0.7798601981
  2.188945	   0.7591398639
  2.238693	   0.7377870589
  2.288442	   0.7160742873
  2.338191	   0.6942881903
  2.387940	   0.6726373967
  2.437688	   0.6510985830
  2.487437	   0.6084539329
  2.537186	   0.5771474453
  2.586935	   0.5300657925
  2.636683	   0.4947243423
  2.686432	   0.4445103365
  2.736181	   0.4054132170
  2.785930	   0.3533856808
  2.835678	   0.3109083416
  2.885427	   0.2581845507
  2.935176	   0.2126844284
  2.984925	   0.1600677509
  3.034673	   0.1118672718
  3.084422	   0.0598720005
  3.134171	   0.0093469448
  3.183920	  -0.0416669505
  3.233668	  -0.0939433498
  3.283417	  -0.1436003669
  3.333166	  -0.1967408909
  3.382915	  -0.2445321735
  3.432663	  -0.2973229756
  3.482412	  -0.3425994397
  3.532161	  -0.3936227032
  3.581910	  -0.4357027131
  3.631658	  -0.4835638637
  3.681407	  -0.5219025988
  3.731156	  -0.5654809878
  3.780905	  -0.5998174415
  3.830653	  -0.6384446620
  3.880402	  -0.6688508729
  3.930151	  -0.7023490546
  3.979899	  -0.7291507087
  4.029648	  -0.7577216846
  4.079397	  -0.7813189425
  4.129146	  -0.8053374234
  4.178894	  -0.8260018868
  4.228643	  -0.8458033563
  4.278392	  -0.8635394820
  4.328141	  -0.8792895891
  4.377889	  -0.8938205971
  4.427638	  -0.9055098613
  4.477387	  -0.9163921477
  4.527136	  -0.9239383733
  4.576884	  -0.9307503957
  4.626633	  -0.9341403388
  4.676382	  -0.9366586604
  4.726131	  -0.9360439923
  4.775879	  -0.9343259988
  4.825628	  -0.9300139684
  4.875377	  -0.9243505319
  4.925126	  -0.9166845899
  4.974874	  -0.9074464200
  5.024623	  -0.8966301256
  5.074372	  -0.8840807755
  5.124121	  -0.8700316377
  5.173869	  -0.8541954399
  5.223618	  -0.8365075936
  5.273367	  -0.8171551983
  5.323116	  -0.7952039173
  5.372864	  -0.7719635922
  5.422613	  -0.7451215218
  5.472362	  -0.7176662617
  5.522111	  -0.6855500953
  5.571859	  -0.6537758619
  5.621608	  -0.6164267923
  5.671357	  -0.5805419007
  5.721106	  -0.5384708449
  5.770854	  -0.4989583792
  5.820603	  -0.4530450765
  5.870352	  -0.4105196995
  5.920101	  -0.3618166332
  5.969849	  -0.3168465362
  6.019598	  -0.2663759395
  6.069347	  -0.2193568921
  6.119095	  -0.1679851617
  6.168844	  -0.1191290288
  6.218593	  -0.0675602820
  6.268342	  -0.0170062642
  6.318090	   0.0341238268
  6.367839	   0.0861255382
  6.417588	   0.1361242110
  6.467337	   0.1890425216
  6.517085	   0.2370864679
  6.566834	   0.2900357477
  6.616583	   0.3352070203
  6.666332	   0.3870106885
  6.716080	   0.4284436377
  6.765829	   0.4778153316
  6.815578	   0.5148979542
  6.865327	   0.5606688767
  6.915075	   0.5932089294
  6.964824	   0.6345106585
  7.014573	   0.6627853220
  7.064322	   0.6991191663
  7.114070	   0.7237738241
  7.163819	   0.7549503721
  7.213568	   0.7767760819
  7.263317	   0.8027674161
  7.313065	   0.8224386408
  7.362814	   0.8432234868
  7.412563	   0.8610938033
  7.462312	   0.8765752702
  7.512060	   0.8943787792
  7.561809	   0.9123257112
  7.611558	   0.9292071433
  7.661307	   0.9441597566
  7.711055	   0.9566939147
  7.760804	   0.9665797008
  7.810553	   0.9737410503
  7.860302	   0.9781826555
  7.910050	   0.9799510709
  7.959799	   0.9791103918
  8.009548	   0.9757323271
  8.059296	   0.9698882977
  8.109045	   0.9616475435
  8.158794	   0.9510743615
  8.208543	   0.9382280598
  8.258291	   0.9231621459
  8.308040	   0.9059245845
  8.357789	   0.8865578636
  8.407538	   0.8650992597
  8.457286	   0.8415812419
  8.507035	   0.8160317177
  8.556784	   0.7884744633
  8.606533	   0.7589293321
  8.656281	   0.7274125964
  8.706030	   0.6939370666
  8.755779	   0.6585123878
  8.805528	   0.6211450134
  8.855276	   0.5818385736
  8.905025	   0.5405936743
  8.954774	   0.4974084331
  9.004523	   0.4522781204
  9.054271	   0.4051958792
  9.104020	   0.3561522710
  9.153769	   0.3051361136
  9.203518	   0.2521340303
  9.253266	   0.1971312905
  9.303015	   0.1401114864
  9.352764	   0.0810572498
  9.402513	   0.0199501832
  9.452261	  -0.0432286601
  9.502010	  -0.1084985003
  9.551759	  -0.1758786697
  9.601508	  -0.2453879905
  9.651256	  -0.3170449633
  9.701005	  -0.3908669204
  9.750754	  -0.4668705200
  9.800503	  -0.5450709044
  9.850251	  -0.6254823672
  9.900000	  -0.7081177790
