x_disc	y_disc
  0.000000	   0.0479425539
  0.100000	   0.1839805151
  0.200000	   0.2984188295
  0.300000	   0.3864499493
  0.400000	   0.4492655567
  0.500000	   0.4935375394
  0.600000	   0.5295641506
  0.700000	   0.5685374377
  0.800000	   0.6196030791
  0.900000	   0.6874344822
  1.000000	   0.7709169523
  1.100000	   0.8632658102
  1.200000	   0.9535510848
  1.300000	   1.0292568453
  1.400000	   1.0792497277
  1.500000	   1.0964308113
  1.600000	   1.0794223143
  1.700000	   1.0328766590
  1.800000	   0.9663325188
  1.900000	   0.8918979766
  2.000000	   0.8213278508
  2.100000	   0.7632103460
  2.200000	   0.7209511864
  2.300000	   0.6920479204
  2.400000	   0.6688309908
  2.500000	   0.6404888478
  2.600000	   0.5958798145
  2.700000	   0.5264406158
  2.800000	   0.4284776557
  2.900000	   0.3042781132
  3.000000	   0.1617667563
  3.100000	   0.0127903308
  3.200000	  -0.1295526777
  3.300000	  -0.2538854433
  3.400000	  -0.3531037026
  3.500000	  -0.4258819524
  3.600000	  -0.4767685051
  3.700000	  -0.5148484199
  3.800000	  -0.5513039040
  3.900000	  -0.5964716341
  4.000000	  -0.6571195159
  4.100000	  -0.7346115472
  4.200000	  -0.8244118721
  4.300000	  -0.9170510677
  4.400000	  -1.0003195251
  4.500000	  -1.0621521581
  4.600000	  -1.0934992064
  4.700000	  -1.0904810938
  4.800000	  -1.0553003618
  4.900000	  -0.9956877876
  5.000000	   3.0359058354
  5.100000	   3.0712600103
  5.200000	   3.0780023422
  5.300000	   3.0509740820
  5.400000	   2.9909849972
  5.500000	   2.9046731407
  5.600000	   2.8029600509
  5.700000	   2.6984787989
  5.800000	   2.6026035685
  5.900000	   2.5228068059
  6.000000	   2.4609895819
  6.100000	   2.4131923569
  6.200000	   2.3707552000
  6.300000	   2.3226414967
  6.400000	   2.2583541853
  6.500000	   2.1707283877
  6.600000	   2.0579144777
  6.700000	   1.9240637743
  6.800000	   1.7785466531
  6.900000	   1.6338921662
  7.000000	   1.5029512868
  7.100000	   1.3959760101
  7.200000	   1.3183271940
  7.300000	   1.2693701654
  7.400000	   1.2428264045
  7.500000	   1.2284932423
  7.600000	   1.2149087059
  7.700000	   1.1923073966
  7.800000	   1.1551422049
  7.900000	   1.1035531509
  8.000000	   1.0434226211
  8.100000	   0.9850025828
  8.200000	   0.9404492089
  8.300000	   0.9208680753
  8.400000	   0.9335931571
  8.500000	   0.9803658384
  8.600000	   1.0568600321
  8.700000	   1.1536701608
  8.800000	   1.2585208198
  8.900000	   1.3591580483
  9.000000	   1.4462154664
  9.100000	   1.5153548882
  9.200000	   1.5681588371
  9.300000	   1.6115581402
  9.400000	   1.6559365951
  9.500000	   1.7123787344
  9.600000	   1.7897366292
  9.700000	   1.8922360713
  9.800000	   2.0182104880
  9.900000	   2.1602748841
