x_var	y_var_span_0.4
  0.000000	   0.6120840391
  0.049749	   0.6112961514
  0.099497	   0.6088290149
  0.149246	   0.6047288729
  0.198995	   0.5990468821
  0.248744	   0.5918365751
  0.298492	   0.5831546568
  0.348241	   0.5730590985
  0.397990	   0.5616091201
  0.447739	   0.5488640886
  0.497487	   0.5348825085
  0.547236	   0.5197220666
  0.596985	   0.5034381818
  0.646734	   0.4860847729
  0.696482	   0.4677129879
  0.746231	   0.4483719093
  0.795980	   0.4281074372
  0.845729	   0.4069625362
  0.895477	   0.3849755337
  0.945226	   0.3621801026
  0.994975	   0.3386023500
  1.044724	   0.3142609027
  1.094472	   0.2891632274
  1.144221	   0.2633056781
  1.193970	   0.2366701016
  1.243719	   0.2092229522
  1.293467	   0.1809119852
  1.343216	   0.1516633611
  1.392965	   0.1213762349
  1.442714	   0.0899171608
  1.492462	   0.0571104330
  1.542211	   0.0227293383
  1.591960	  -0.0135161135
  1.641709	  -0.0519870328
  1.691457	  -0.0931110510
  1.741206	  -0.1373390409
  1.790955	  -0.1849899927
  1.840704	  -0.2358607601
  1.890452	  -0.2884936161
  1.940201	  -0.3397855618
  1.989950	  -0.3713905377
  2.039698	  -0.4107838446
  2.089447	  -0.4331943268
  2.139196	  -0.4629865968
  2.188945	  -0.4757941300
  2.238693	  -0.4952782198
  2.288442	  -0.4981501536
  2.338191	  -0.5070357089
  2.387940	  -0.5000415293
  2.437688	  -0.4983480061
  2.487437	  -0.4822244028
  2.537186	  -0.4703644693
  2.586935	  -0.4463092224
  2.636683	  -0.4251993328
  2.686432	  -0.3944510206
  2.736181	  -0.3654286981
  2.785930	  -0.3291718860
  2.835678	  -0.2937753998
  2.885427	  -0.2534187755
  2.935176	  -0.2132713079
  2.984925	  -0.1706066700
  3.034673	  -0.1274683381
  3.084422	  -0.0844010177
  3.134171	  -0.0401897513
  3.183920	   0.0016508294
  3.233668	   0.0450160006
  3.283417	   0.0843179871
  3.333166	   0.1251201872
  3.382915	   0.1606217533
  3.432663	   0.1973918935
  3.482412	   0.2277688158
  3.532161	   0.2592072236
  3.581910	   0.2833280743
  3.631658	   0.3083118935
  3.681407	   0.3255335538
  3.731156	   0.3432639095
  3.780905	   0.3533877252
  3.830653	   0.3634909698
  3.880402	   0.3664815383
  3.930151	   0.3689318919
  3.979899	   0.3648100407
  4.029648	   0.3598035093
