x	y_span_0.3
  0.000000	   0.4890816072
  0.049749	   0.5227713412
  0.099497	   0.5540180626
  0.149246	   0.5828942442
  0.198995	   0.6094768546
  0.248744	   0.6338442645
  0.298492	   0.6560745220
  0.348241	   0.6762456684
  0.397990	   0.6944343816
  0.447739	   0.7107168562
  0.497487	   0.7251677192
  0.547236	   0.7378604289
  0.596985	   0.7488660016
  0.646734	   0.7582527442
  0.696482	   0.7660838771
  0.746231	   0.7724165890
  0.795980	   0.7772970709
  0.845729	   0.7807587540
  0.895477	   0.7828129874
  0.945226	   0.7834458070
  0.994975	   0.7826026153
  1.044724	   0.7801811713
  1.094472	   0.7760083519
  1.144221	   0.7698238706
  1.193970	   0.7612486166
  1.243719	   0.7497657918
  1.293467	   0.7347503118
  1.343216	   0.7157172217
  1.392965	   0.6932118062
  1.442714	   0.6700495360
  1.492462	   0.6662634181
  1.542211	   0.6505947565
  1.591960	   0.6538589426
  1.641709	   0.6448765532
  1.691457	   0.6570237192
  1.741206	   0.6572331918
  1.790955	   0.6794279026
  1.840704	   0.6909393296
  1.890452	   0.7223917292
  1.940201	   0.7454461838
  1.989950	   0.7826355730
  2.039698	   0.8145210636
  2.089447	   0.8513812515
  2.139196	   0.8863458615
  2.188945	   0.9154508018
  2.238693	   0.9457841726
  2.288442	   0.9601325271
  2.338191	   0.9780582355
  2.387940	   0.9727876298
  2.437688	   0.9724371170
  2.487437	   0.9458235759
  2.537186	   0.9245220759
  2.586935	   0.8779258225
  2.636683	   0.8363306113
  2.686432	   0.7731980563
  2.736181	   0.7143428926
  2.785930	   0.6387647457
  2.835678	   0.5665401328
  2.885427	   0.4820236158
  2.935176	   0.3998386267
  2.984925	   0.3088104538
  3.034673	   0.2190409739
  3.084422	   0.1232258319
  3.134171	   0.0276288386
  3.183920	  -0.0709816922
  3.233668	  -0.1702104903
  3.283417	  -0.2683734190
  3.333166	  -0.3675578741
  3.382915	  -0.4603704164
  3.432663	  -0.5539959349
  3.482412	  -0.6353911858
