row,ensembles,super_ensembles,low_confidence_ensembles,seed_of
1,"1,12,33,54","1","12,33",""
2,"40,41,47,49","11","41,47,49",""
3,"19,24,27,56","9","24",""
4,"3,23,51","","3,23,51",""
5,"14,18,53,55","6,4","14,55",""
6,"13,61","","13,61",""
7,"8,41,47","11","8",""
8,"15,17,34,53","7,6","17,53",""
9,"1,21,54","1","1,21,54","1"
10,"11,29","","11,29",""
11,"3,51","","3,51",""
12,"40,41,47","11","40,47",""
13,"2,20,32","2,5","2","2"
14,"5,42,46,59","","5,42,46,59",""
15,"3,23","","3,23","3"
16,"4,11,48","3","11,48",""
17,"27,44,56","9","44",""
18,"44,50,56,60","9","50,60",""
19,"36,46","","36,46",""
20,"4,22,48,51,62","3","4,22,48,51,62",""
21,"4,22,51,62","3","4,22,51,62",""
22,"36,46","","36,46",""
23,"44,50,56,60","9","50,60",""
24,"19,24,27,56","9","24",""
25,"12,33,45,54","1","33,45",""
26,"4","3","4","4"
27,"5,42","","5,42","5"
28,"10,13,43","","10,13,43",""
29,"5,42,46,59","","5,42,46,59",""
30,"15,34","7","34",""
31,"27,44,50,56","9","44,50",""
32,"4,51","3","51",""
33,"6,9,20,28,37","5,10","37",""
34,"14,18,53,55","6,4","14,55",""
35,"2,6,9,20,28,32","2,5,10","6,9","6"
36,"12,36,45,54","1","36,45",""
37,"4,51,62","3","4,51,62",""
38,"7,18,26,52","4","7,26","7"
39,"13,43","","13,43",""
40,"13,25,61","","13,25,61",""
41,"18,30,52","4","18,30,52",""
42,"18,52,55,57","4","55,57",""
43,"14,18,53,55","6,4","14,55",""
44,"8,41,47,49","11","8,49","8"
45,"2,6,9,20,28,32","2,5,10","9","9"
46,"19,27,56","9","27",""
47,"27,44,56","9","56",""
48,"10,28,37,43","10","10,37,43","10"
49,"36","","36",""
50,"44,50,56,60","9","50,60",""
51,"19,24,27,56","9","19,24",""
52,"8,41,47,49","11","8,49",""
53,"2,16,32,35","2,8,5","16,35",""
54,"12,36,45,54","1","36,45",""
55,"11,29","","11,29","11"
56,"38,40","","38",""
57,"3,51","","3,51",""
58,"2,6,9,20,28,32","2,5,10","6,9",""
59,"10,13,43","","10,13,43",""
60,"25,61","","25,61",""
61,"7,18,26,56","4,9","7,26",""
62,"1,12,54","1","12","12"
63,"5,42,59","","5,42,59",""
64,"7,18,52","4","7,52",""
65,"36,46","","36,46",""
66,"15,34","7","15,34",""
67,"7,18,26,52","4","7,26",""
68,"2,20,32","2,5","2,32",""
69,"15,34","7","15,34",""
70,"8,41,47","11","8",""
71,"1,21,31,54,58","1","31,58",""
72,"10,13,43,61","","10,13,43,61","13"
73,"11,29,48","","11,29,48",""
74,"14,53","6","14,53","14"
75,"40,41,47","11","41,47",""
76,"2,6,9,20,28,32","2,5,10","6,9",""
77,"6,10,28,37","10","10,37",""
78,"13,61","","13,61",""
79,"1,21,54","1","1,54",""
80,"4,22,48,51,62","3","22,48,51,62",""
81,"7,18,26,52","4","7,26",""
82,"1,12,33,45,54","1","33,45",""
83,"18,26,56","4,9","26",""
84,"2,6,9,20,28,32","2,5,10","6,28",""
85,"27,44,56","9","56",""
86,"19,24,27,56","9","19,24",""
87,"1,12,33,54","1","12,33",""
88,"6,9,20,28,32","5,10","28",""
89,"18,30,52","4","18,30,52",""
90,"16,23,39","8","23,39",""
91,"15,34","7","15,34","15"
92,"2,16,35","2,8","16,35","16"
93,"42,46,59","","42,46,59",""
94,"4,51","3","51",""
95,"15,17,34,53","7,6","15,17","17"
96,"1,29,31,58","1","29,31,58",""
97,"18,30,52","4","18,30,52",""
98,"18,52,57","4","18,57","18"
99,"4,11,22,48","3","11,22,48",""
100,"8,41,47,49","11","8,49",""
101,"19,24,27,56","9","19,27","19"
102,"1,21,31,54,58","1","31,58",""
103,"27,44,50,56","9","44,50",""
104,"2,16,35,39","2,8","16,39",""
105,"2,20,32,35","2,5","2",""
106,"27,44,56","9","44",""
107,"4,51,62","3","4,51,62",""
108,"2,16,35,39","2,8","16,39",""
109,"4","3","4",""
110,"4,22,62","3","4,22,62",""
111,"2,9,20,32","2,5","20,32",""
112,"56,60","9","60",""
113,"4,22,48,62","3","22,48,62",""
114,"2,9,20,32","2,5","20","20"
115,"25,61","","25,61",""
116,"1,21,54","1","1,21",""
117,"1,21,54","1","21","21"
118,"14,15,17,53","6,7","14,17,53",""
119,"19,24,27,56","9","19,24",""
120,"6,9,20,28,32","5,10","28",""
121,"13,43,61","","13,43,61",""
122,"38,40","","38,40",""
123,"10,13,43","","10,13,43",""
124,"2,20,32","2,5","32",""
125,"2,6,9,20,28,32","2,5,10","6,9",""
126,"4,22,48","3","22,48","22"
127,"40,41,47,49","11","41,49",""
128,"1,12,33,45,54","1","33,45",""
129,"15,17,34,53","7,6","15,17",""
130,"3,23","","3,23",""
131,"2,16,32,35","2,8,5","35",""
132,"40,41,47","11","40,41,47",""
133,"40,47","11","40",""
134,"19,24,27,56","9","19,24",""
135,"2,6,9,20,32","2,5","9,20",""
136,"2,20,32","2,5","2,32",""
137,"1,12,21,54","1","54",""
138,"19,27,56","9","27,56",""
139,"12,36,45","1","36,45",""
