vector_index,x,y_original,cluster_id,max_posterior,posterior_component_1,posterior_component_2,posterior_component_3,posterior_component_4,posterior_component_5
1,-1.0,0.4921136313588874,4,0.9999999999998497,1.997290748077711e-242,1.50385400903473e-13,0.0,0.9999999999998497,1.8723667418459443e-64
2,-0.995991983967936,0.5046621981026944,4,0.9999999999921587,6.558270090562661e-233,7.84128664099704e-12,0.0,0.9999999999921587,5.012712696162244e-60
3,-0.9919839679358716,0.5013118395252005,4,0.9999999999980785,1.972470837852687e-234,1.9215044112859036e-12,0.0,0.9999999999980785,3.6477607762815825e-61
4,-0.9879759519038076,0.5120519946488761,4,0.999999999951733,2.7996035547949552e-226,4.82669211897546e-11,0.0,0.999999999951733,1.9022507320262793e-57
5,-0.9839679358717436,0.5215743802358442,4,0.9999999992765409,4.833056010172743e-219,7.234589907560394e-10,0.0,0.9999999992765409,3.273740602904549e-54
6,-0.9799599198396792,0.5454325283406125,4,0.9999993629120716,3.029604821963484e-202,6.370879283303623e-07,0.0,0.9999993629120716,2.6455302162515492e-46
7,-0.9759519038076152,0.5250848568234993,4,0.9999999988203847,3.3687362904576185e-215,1.1796152641873486e-09,0.0,0.9999999988203847,4.914133573462135e-53
8,-0.9719438877755512,0.5026006402889289,4,0.9999999999992134,1.6491269125037885e-229,7.865871834462052e-13,0.0,0.9999999999992134,1.6860389525922803e-60
9,-0.9679358717434868,0.5599061179856931,4,0.9999872038755547,1.0688606849514355e-190,1.2796124445323057e-05,0.0,0.9999872038755547,8.670483623410692e-42
10,-0.9639278557114228,0.5231410277167058,4,0.999999999709779,2.9808181296625138e-214,2.9022094735395453e-10,0.0,0.999999999709779,1.2535151693714317e-53
11,-0.9599198396793588,0.5414729277110353,4,0.9999999544224561,1.8070450487665912e-201,4.5577543853682834e-08,0.0,0.9999999544224561,1.020061774943719e-47
12,-0.9559118236472944,0.5543289835450445,4,0.9999988460440142,2.0496107140587113e-192,1.1539559857143806e-06,0.0,0.9999988460440142,1.1135424496866575e-43
13,-0.9519038076152304,0.5521277658999952,4,0.9999995162383035,3.5724046700357967e-193,4.837616964852509e-07,0.0,0.9999995162383035,2.1675123974087789e-44
14,-0.9478957915831664,0.5727428161863705,4,0.999929295561696,2.683372000144491e-179,7.070443830402959e-05,0.0,0.999929295561696,4.2927066609996103e-38
15,-0.9438877755511024,0.5631492969102309,4,0.9999951257236653,8.615799131260233e-185,4.874276334655472e-06,0.0,0.9999951257236653,4.739665339491867e-41
16,-0.939879759519038,0.5390393707961769,4,0.9999999934290751,1.8370760566438243e-199,6.5709248243070784e-09,0.0,0.9999999934290751,1.9766722703600033e-48
17,-0.935871743486974,0.6025194331087783,4,0.9761279061260417,7.749388495078154e-159,0.023872093873958278,0.0,0.9761279061260417,1.5820531619179e-29
18,-0.93186372745491,0.565503765282342,4,0.9999960316863333,2.305690003234767e-181,3.968313666794521e-06,0.0,0.9999960316863333,2.041808881630708e-40
19,-0.9278557114228456,0.5613254581771977,4,0.9999988906243295,2.589481089259856e-183,1.1093756708075116e-06,0.0,0.9999988906243295,1.1534828894888369e-41
20,-0.9238476953907816,0.5861921802305349,4,0.9997038886133577,2.7795758898388765e-167,0.0002961113866424,0.0,0.9997038886133577,1.895296570916217e-34
21,-0.9198396793587176,0.5745303250663246,4,0.9999836487208545,7.682271149335291e-174,1.6351279145545078e-05,0.0,0.9999836487208545,7.800758847617857e-38
22,-0.9158316633266532,0.5801397135461123,4,0.9999537465860535,8.790957061082618e-170,4.625341394648371e-05,0.0,0.9999537465860535,2.975932569354203e-36
23,-0.9118236472945892,0.6245988670885827,4,0.7831675974182879,1.7538093521413205e-142,0.2168324025817122,0.0,0.7831675974182879,4.110851823476429e-24
24,-0.9078156312625252,0.5718389754796219,4,0.9999954968465861,1.5281054939265293e-173,4.503153413761664e-06,0.0,0.9999954968465861,1.2659828821526715e-38
25,-0.9038076152304608,0.5735585690769291,4,0.9999945673823253,7.536924707592856e-172,5.432617674830567e-06,0.0,0.9999945673823253,3.894963035414383e-38
26,-0.8997995991983968,0.5848038934513726,4,0.9999476997665536,1.7283827038972653e-164,5.230023344636707e-05,0.0,0.9999476997665536,5.018609704110638e-35
27,-0.8957915831663327,0.606447319741256,4,0.9967107375103509,4.209156873328507e-151,0.003289262489649116,0.0,0.9967107375103509,3.2742199285347374e-29
28,-0.8917835671342685,0.5574171288938373,4,0.9999999230538262,2.125138839814519e-179,7.694617384993516e-08,0.0,0.9999999230538262,1.5715836585505924e-42
