parameter,value,best_count,worst_count
mean_dist_quant,0.05,0,0
mean_dist_quant,0.1625,0,30
mean_dist_quant,0.275,0,0
mean_dist_quant,0.3875,16,0
mean_dist_quant,0.5,14,0
k_seeding,15.0,16,0
k_seeding,25.0,0,10
k_seeding,35.0,0,0
k_seeding,45.0,0,0
k_seeding,55.0,14,20
alpha_mad,0.25,0,30
alpha_mad,0.4375,0,0
alpha_mad,0.625,16,0
alpha_mad,0.8125,7,0
alpha_mad,1.0,7,0
alpha_accept,0.25,10,6
alpha_accept,0.4375,7,6
alpha_accept,0.625,5,6
alpha_accept,0.8125,3,6
alpha_accept,1.0,5,6
min_intersection,1.0,7,0
min_intersection,2.0,6,5
min_intersection,3.0,5,5
min_intersection,4.0,6,10
min_intersection,5.0,6,10
