vector_index,x,y_original,cluster_id,max_posterior,posterior_component_1,posterior_component_2
1,0.1603279433807384,-0.7591999237844618,1,0.9998442454839119,0.9998442454839119,0.00015575451608807985
2,0.1287468002384219,-0.6581183922701156,1,0.9995269580994911,0.9995269580994911,0.0004730419005088172
3,-0.1722825458372684,-0.8275854090302155,1,0.9998999105967152,0.9998999105967152,0.00010008940328452392
4,0.1304335770231372,-1.006146010707622,1,0.999993300444698,0.999993300444698,6.699555301989651e-06
5,-0.1671879552333017,-0.5130382327295928,1,0.9970205182424884,0.9970205182424884,0.0029794817575116315
6,-0.3220339595986869,-0.5659436400975415,1,0.9958288902346161,0.9958288902346161,0.0041711097653840306
7,-0.0734287142094462,-0.8095011654994381,1,0.9999137414201615,0.9999137414201615,8.625857983843601e-05
8,0.2245938743171471,-0.7000515622911517,1,0.9996114035695407,0.9996114035695407,0.00038859643045920973
9,0.1311921104282747,-0.5001992592972323,1,0.9972661287536699,0.9972661287536699,0.002733871246330004
10,-0.0003143614746388,-0.5726651986297637,1,0.9988952287584497,0.9988952287584497,0.0011047712415502618
11,-0.0833410967182115,-1.0281041212176818,1,0.9999938269434498,0.9999938269434498,6.173056550063385e-06
12,-0.0779524272232862,-0.6803082537665514,1,0.9996192918301158,0.9996192918301158,0.0003807081698842578
13,0.0217569811721592,-0.7561069502589632,1,0.9998603336966686,0.9998603336966686,0.00013966630333134812
14,-0.2136874971691657,-0.4935288924303284,1,0.9955568390418612,0.9955568390418612,0.004443160958138676
15,-0.0696214690402594,-0.5034688715983064,1,0.9975177656290262,0.9975177656290262,0.002482234370973819
16,-0.0431138922719537,-0.4395042408160039,1,0.9954264201051268,0.9954264201051268,0.004573579894873126
17,-0.2702148916902995,-0.9203530612924288,1,0.9999399845485811,0.9999399845485811,6.001545141894325e-05
18,-0.1676896501795149,-0.8471448874564091,1,0.9999219667280322,0.9999219667280322,7.803327196773622e-05
19,0.0821013582972763,-0.4610544805148478,1,0.9962475467084518,0.9962475467084518,0.0037524532915481786
20,0.0019023679881988,-0.7957485179071989,1,0.9999110998218601,0.9999110998218601,8.890017813984739e-05
21,-0.0617523582386766,-0.9752543381183454,1,0.999988735742667,0.999988735742667,1.1264257332834592e-05
22,-0.1822854875075927,-0.557996831509445,1,0.9979967781954961,0.9979967781954961,0.002003221804503918
23,0.3153699651178434,-0.7675082041822269,1,0.9997314623474554,0.9997314623474554,0.0002685376525445893
24,-0.1675958429358637,-0.2936547491641263,1,0.9757211247753609,0.9757211247753609,0.024278875224639163
25,0.0503185614523474,-0.5859243795248881,1,0.9990422047768313,0.9990422047768313,0.0009577952231687246
26,-0.097573817614759,-0.6066578200910218,1,0.9991065661556593,0.9991065661556593,0.000893433844340722
27,0.007255858527667,-0.7061068428392805,1,0.9997494780152952,0.9997494780152952,0.00025052198470484574
28,0.0915219483880744,-0.3076393848275089,1,0.9822670563221543,0.9822670563221543,0.017732943677845756
29,-0.2740513178415772,-0.5476439467317132,1,0.996380343325987,0.996380343325987,0.0036196566740129966
30,-0.0013232488306976,-0.6946031294376929,1,0.9997127481059443,0.9997127481059443,0.00028725189405553434
31,0.2381457297959691,-0.7652683542243152,1,0.9998122075107289,0.9998122075107289,0.00018779248927119883
32,0.3523003786984006,-0.6146946109128437,1,0.9978680254363712,0.9978680254363712,0.0021319745636289426
33,-0.0260027946510262,-0.7890777545277354,1,0.999900519196707,0.999900519196707,9.948080329298271e-05
34,0.0083362414433817,-0.3813212858577596,1,0.9920576188991893,0.9920576188991893,0.00794238110081069
35,0.4422666057203066,-0.9423135720951694,1,0.9999314573017387,0.9999314573017387,6.854269826114562e-05
36,0.2269848563198396,-0.602096354053711,1,0.9987760338443332,0.9987760338443332,0.0012239661556666798
37,-0.1234569138510437,-0.4457152264662841,1,0.994958143997591,0.994958143997591,0.005041856002409022
38,-0.1237966901772246,-0.4928664385587137,1,0.9968516170904806,0.9968516170904806,0.0031483829095192884
39,0.1913098923574537,-0.6982953042805532,1,0.9996488138619548,0.9996488138619548,0.000351186138045161
40,-0.2022074260091461,-0.4163353554328838,1,0.9910653772980699,0.9910653772980699,0.008934622701930135
41,0.2175453502677706,-0.7191433615481493,1,0.9996986630240189,0.9996986630240189,0.0003013369759811709
42,0.0668599927502016,-0.539960802267104,1,0.9984027132884442,0.9984027132884442,0.001597286711555749
43,0.1035441528054145,-0.398663943668445,1,0.9926007435761709,0.9926007435761709,0.007399256423829122
44,-0.0513467606960106,-0.4299980892626678,1,0.9949200643523781,0.9949200643523781,0.00507993564762189
45,-0.1259649608492819,-0.6511368345419581,1,0.9993981743699121,0.9993981743699121,0.0006018256300878838
46,0.292398566173664,-0.2701785160419661,1,0.9427226568843292,0.9427226568843292,0.05727734311567065
47,-0.0493474561106949,-0.4858868921545061,1,0.997120880256187,0.997120880256187,0.002879119743813003
48,-0.0821870153147723,-0.3481751113605568,1,0.9882043961764154,0.9882043961764154,0.011795603823584593
49,-0.0160274135759618,-0.1845023793105118,1,0.9511162549018133,0.9511162549018133,0.04888374509818669
50,0.0386044265435885,-0.2603668579870141,1,0.9744201286831021,0.9744201286831021,0.025579871316897887
51,-0.2061650253438897,-0.2533934735725009,1,0.9601620970966704,0.9601620970966704,0.039837902903329545
52,-0.1129742988413823,-0.4324317559655894,1,0.994413202961922,0.994413202961922,0.00558679703807798
53,-0.1236064147812115,-0.3057291048501561,1,0.9808795470203175,0.9808795470203175,0.0191204529796825
54,0.1690560609213696,-0.4153452012161691,1,0.9925365297944724,0.9925365297944724,0.00746347020552753
55,-0.1771925135999778,-0.6934777967814891,1,0.9995361479312304,0.9995361479312304,0.00046385206876959533
56,-0.3511535715516107,-0.3846125318215722,1,0.9710636671946924,0.9710636671946924,0.02893633280530753
57,-0.3934189125812308,-0.3874374806716618,1,0.960826195077439,0.960826195077439,0.039173804922560874
58,-0.2940760269351434,-0.3155121922117652,1,0.9637112898768712,0.9637112898768712,0.036288710123128884
59,0.2723076405696222,-0.4514058466555823,1,0.9919045211161908,0.9919045211161908,0.008095478883809131
60,0.0032413198968103,-0.5716459500624477,1,0.9988848692304623,0.9988848692304623,0.0011151307695378284
61,0.1002498173614405,-0.2816020091714062,1,0.9768598231956733,0.9768598231956733,0.02314017680432665
62,0.1072975454242658,-0.6691060703536755,1,0.9995988568343157,0.9995988568343157,0.0004011431656843391
63,0.011236783678464,-0.1082361728287061,1,0.9076128950698401,0.9076128950698401,0.09238710493015999
64,-0.0149562593302616,-0.4398319993377727,1,0.9955464871159333,0.9955464871159333,0.0044535128840667544
65,0.2089052859636281,-0.3379911397823147,1,0.9808678152858797,0.9808678152858797,0.01913218471412025
66,0.0291991828625279,-0.2689335306340082,1,0.976552551920083,0.976552551920083,0.0234474480799171
67,0.2798194958526829,-0.2560559394182586,1,0.9392694556039093,0.9392694556039093,0.06073054439609085
68,0.1241659890579732,-0.649538795474218,1,0.9994830983208465,0.9994830983208465,0.000516901679153387
69,-0.1235592546962056,-0.1964730064717924,1,0.950206017672672,0.950206017672672,0.049793982327328075
70,-0.0994268047739872,-0.2942079440021647,1,0.9798843821289692,0.9798843821289692,0.020115617871030708
71,-0.1454929612908559,-0.4754393736859154,1,0.995981978782987,0.995981978782987,0.0040180212170129745
72,0.2435096043901431,-0.4918688740601505,1,0.9954958169926665,0.9954958169926665,0.004504183007333491
73,-0.0810101905891105,-0.402294487379111,1,0.9930060413459305,0.9930060413459305,0.006993958654069452
74,-0.1596945593599265,-0.5887805953866145,1,0.9986754270032772,0.9986754270032772,0.0013245729967228475
75,0.063955608225364,0.0218728330361147,1,0.7522320793385573,0.7522320793385573,0.2477679206614427
76,-0.0194334212745006,-0.0188987672293957,1,0.8242194073588719,0.8242194073588719,0.17578059264112808
77,0.0589137025150327,-0.2193373791596509,1,0.9619594526246847,0.9619594526246847,0.038040547375315224
78,0.3779627807787686,-0.3479054897200311,1,0.9518640732278895,0.9518640732278895,0.048135926772110704
79,0.1826141611857719,-0.3361957911358663,1,0.9825128379341376,0.9825128379341376,0.0174871620658625
80,0.0054021108603812,-0.1387094394103677,1,0.927921077305191,0.927921077305191,0.072078922694809
