vector_index,x,y_original,cluster_id,is_noise,is_core
1,0.0153080431202669,-0.8053553103744969,1,0,0
2,0.0214682540482089,-0.7686974507517356,1,0,1
3,0.0099737982427108,-0.786791548604514,1,0,1
4,-0.0388499538192354,-0.8059495604560734,0,1,0
5,-0.0031084486505551,-0.7436452567706436,1,0,1
6,-0.0231141514983383,-0.755943358825094,1,0,1
7,-0.0040521154583614,-0.7733295115292823,1,0,1
8,0.0196000847226778,-0.7515171808699271,1,0,1
9,0.0061030167174994,-0.7692861898920794,1,0,1
10,0.0229618173279486,-0.7397806556624456,1,0,1
11,0.0068350784142707,-0.7993367228208308,1,0,1
12,-0.025966518793378,-0.7670626933405585,1,0,1
13,-0.0504169401314546,-0.7222329869324425,0,1,0
14,0.0029761752335918,-0.7419628077340754,1,0,1
15,-0.0042785293270233,-0.7279703662234374,1,0,1
16,-0.0195389147876376,-0.754208440515036,1,0,1
17,-0.0340125449930275,-0.6854669025102004,1,0,1
18,-0.0146948642694541,-0.6937651647014041,1,0,1
19,-0.0038898296972955,-0.7167409770947794,1,0,1
20,0.0133175564741278,-0.7159727050160544,1,0,1
21,0.0037726216313596,-0.6824382158019092,1,0,1
22,0.0321613449434545,-0.6585324091784397,1,0,1
23,-0.0207120811209078,-0.6742581282171063,1,0,1
24,0.0176211778411486,-0.6450487951369165,1,0,1
25,0.0009459748625745,-0.702083390217602,1,0,1
26,0.0138933824823716,-0.6951756153978547,1,0,1
27,-0.0087302972653108,-0.6977182163004609,1,0,1
28,0.0214336074778117,-0.6602556960979196,1,0,1
29,0.0059044951669048,-0.6607303532463369,1,0,1
30,-0.0135888996983549,-0.6624329618633792,1,0,1
31,-0.0002404805782637,-0.6383602819829886,1,0,1
32,-0.0047911171787419,-0.6250503975926764,1,0,1
33,0.0097835670127558,-0.6753617330342218,1,0,1
34,-0.0235955349874901,-0.6519394405580223,1,0,1
35,-0.0005870340423138,-0.6187486432690541,1,0,1
36,0.0079061450529866,-0.639657803980202,1,0,1
37,0.0006604661438606,-0.6414186669817086,1,0,1
38,0.0269388248877799,-0.6002353120530527,1,0,1
39,0.015480455481421,-0.6415475771520555,1,0,1
40,-0.0001496159348149,-0.616940687064913,1,0,1
41,0.0043337819499534,-0.5994877255445099,1,0,1
42,0.0059133110296399,-0.6126885194903237,1,0,1
43,0.0080659920833364,-0.580700523243373,1,0,1
44,-0.0365131599132921,-0.6028926910190989,0,1,0
45,-0.0060305259153869,-0.5584942767977483,1,0,1
46,-0.0296887813638685,-0.5843331077680973,1,0,0
47,0.0255656189491897,-0.5635442942355899,1,0,1
48,-0.0012169904000585,-0.5572007330615558,1,0,1
49,-0.0038668189935924,-0.5798235273276088,1,0,1
50,0.0179359466406647,-0.6034939733973602,1,0,1
51,0.0084464959489974,-0.550360642482481,1,0,1
52,-0.0225726902875841,-0.5512815057847753,1,0,1
53,-0.0014181072505473,-0.5367622673272853,1,0,1
54,-0.0067033394645276,-0.5475608524779598,1,0,1
55,-0.034890657772121,-0.5467903721578325,1,0,1
56,-0.013805524664744,-0.4931638731136994,1,0,1
57,-0.0036708064403293,-0.5579319297150641,1,0,1
58,-0.0022990186298368,-0.5089573540690789,1,0,1
59,-0.0296446284735461,-0.5302799159515467,1,0,1
60,0.0230333116609495,-0.5206549662942024,1,0,1
61,-0.0020420611778287,-0.5154329657423885,1,0,1
62,0.0007510615332112,-0.5203111097258494,1,0,1
63,0.0080128327667967,-0.4879694551892146,1,0,1
64,-0.0157615250780734,-0.4667325826264554,1,0,1
65,0.0091271194626539,-0.4802966964720365,1,0,1
66,-0.0073414929203636,-0.482780844924243,1,0,1
67,-0.0179317108129438,-0.499728809981985,1,0,1
68,0.0114689498671079,-0.4648150098350262,1,0,1
69,0.0298334771760361,-0.4271760376684443,1,0,1
70,0.0144965874697166,-0.4730684379304473,1,0,1
71,0.0184595513028086,-0.4681257321930979,1,0,1
72,-0.0104126121312459,-0.4669793583771957,1,0,1
73,-0.0319523945833691,-0.4606973755989793,1,0,1
74,0.0298027504419968,-0.5009665971340538,1,0,1
