x_orig,y_orig,x_loess,y_loess,x_anwil,y_anwil,x_iter,y_iter,x_nw,y_nw,y_nw_knn,x_manle,y_manle,svd_x,svd_y,x_amanle,y_amanle
   -1.000000,    0.612577,   -1.000000,    0.530460,   -0.930911,    0.591362,   -0.896718,    0.591667,   -1.000000,    0.604398,    0.550419,   -0.952258,   -0.185002,   -1.002499,   -0.097257,   -0.935316,   -0.162955,
   -0.995992,    0.420468,   -0.995992,    0.533078,   -0.928523,    0.516790,   -0.900934,    0.574650,   -0.995992,    0.608702,    0.561757,   -0.952565,   -0.176648,   -1.016992,   -0.098663,   -0.937012,   -0.161973,
   -0.991984,    0.555239,   -0.991984,    0.535682,   -0.933864,    0.568728,   -0.899730,    0.585372,   -0.991984,    0.607013,    0.554172,   -0.952590,   -0.182441,   -1.000068,   -0.097021,   -0.934497,   -0.161106,
   -0.987976,    0.413410,   -0.987976,    0.538273,   -0.928010,    0.515441,   -0.900751,    0.574449,   -0.987976,    0.610300,    0.562260,   -0.952856,   -0.176273,   -1.009729,   -0.097958,   -0.937006,   -0.161965,
   -0.983968,    0.611087,   -0.983968,    0.540850,   -0.930409,    0.591374,   -0.896389,    0.591804,   -0.983968,    0.607618,    0.551676,   -0.952819,   -0.184731,   -0.986760,   -0.095730,   -0.933882,   -0.164156,
   -0.979960,    0.508046,   -0.979960,    0.543415,   -0.931354,    0.547260,   -0.900146,    0.580383,   -0.979960,    0.610190,    0.557576,   -0.953051,   -0.180278,   -0.992692,   -0.096305,   -0.934915,   -0.159903,
   -0.975952,    0.632995,   -0.975952,    0.545968,   -0.925997,    0.605416,   -0.891542,    0.597318,   -0.975952,    0.608885,    0.551379,   -0.953075,   -0.185565,   -0.976713,   -0.094755,   -0.934324,   -0.165660,
   -0.971944,    0.573626,   -0.971944,    0.548509,   -0.927460,    0.580720,   -0.897174,    0.588669,   -0.971944,    0.610699,    0.555003,   -0.953267,   -0.182987,   -0.978448,   -0.094923,   -0.931858,   -0.161448,
   -0.967936,    0.439247,   -0.967936,    0.551039,   -0.926164,    0.520665,   -0.899996,    0.575684,   -0.967936,    0.613708,    0.562548,   -0.953528,   -0.177199,   -0.987393,   -0.095791,   -0.936862,   -0.161458,
   -0.963928,    0.653853,   -0.963928,    0.553559,   -0.919288,    0.615469,   -0.887201,    0.601440,   -0.963928,    0.611073,    0.552078,   -0.953467,   -0.186308,   -0.962796,   -0.093405,   -0.935215,   -0.166706,
   -0.959920,    0.666747,   -0.959920,    0.556069,   -0.917844,    0.618354,   -0.885420,    0.603172,   -0.959920,    0.611730,    0.552117,   -0.953592,   -0.186811,   -0.957586,   -0.092899,   -0.935807,   -0.166187,
   -0.955912,    0.615981,   -0.955912,    0.558569,   -0.923915,    0.599057,   -0.892648,    0.595016,   -0.955912,    0.613388,    0.555556,   -0.953776,   -0.184602,   -0.958495,   -0.092988,   -0.933128,   -0.169405,
   -0.951904,    0.487209,   -0.951904,    0.561061,   -0.922127,    0.535743,   -0.898310,    0.578761,   -0.951904,    0.616226,    0.563381,   -0.954032,   -0.179071,   -0.966900,   -0.093803,   -0.935730,   -0.158305,
   -0.947896,    0.526378,   -0.947896,    0.563544,   -0.927186,    0.549807,   -0.898861,    0.581476,   -0.947896,    0.616482,    0.562231,   -0.954133,   -0.180693,   -0.959165,   -0.093053,   -0.934486,   -0.154129,
   -0.943888,    0.565203,   -0.943888,    0.566019,   -0.924156,    0.576034,   -0.896414,    0.587835,   -0.943888,    0.616767,    0.560897,   -0.954233,   -0.182300,   -0.951463,   -0.092305,   -0.933279,   -0.157624,
   -0.939880,    0.499969,   -0.939880,    0.568487,   -0.924350,    0.543202,   -0.898196,    0.580142,   -0.939880,    0.618606,    0.565636,   -0.954431,   -0.179473,   -0.953762,   -0.092528,   -0.936114,   -0.156120,
   -0.935872,    0.694336,   -0.935872,    0.570945,   -0.900417,    0.633621,   -0.872570,    0.612690,   -0.935872,    0.616664,    0.555595,   -0.954389,   -0.187739,   -0.931111,   -0.090331,   -0.936886,   -0.164773,
   -0.931864,    0.573163,   -0.931864,    0.573394,   -0.923470,    0.576488,   -0.896028,    0.588163,   -0.931864,    0.619320,    0.565611,   -0.954638,   -0.182500,   -0.938786,   -0.091076,   -0.938919,   -0.159802,
   -0.927856,    0.348004,   -0.927856,    0.575831,   -0.916018,    0.503954,   -0.896215,    0.573693,   -0.927856,    0.623413,    0.581905,   -0.954983,   -0.172861,   -0.956455,   -0.092790,   -0.936846,   -0.162033,
