vector_index,x,y_original,cluster_id,max_posterior,posterior_component_1,posterior_component_2,posterior_component_3,posterior_component_4,posterior_component_5,posterior_component_6,posterior_component_7,posterior_component_8,posterior_component_9
1,-1.0,-0.033900774561816,8,1.0,0.0,3.2570962100734608e-28,0.0,2.243738523132797e-119,3.275812780109076e-278,9.138597130266808e-274,0.0,1.0,0.0
2,-0.995991983967936,-0.0110926829505698,8,1.0,0.0,5.79030761974488e-27,0.0,9.886281545225108e-121,2.1512602904923575e-269,1.6946751355497928e-268,0.0,1.0,0.0
3,-0.9919839679358716,-0.0933065306853718,8,1.0,0.0,1.5523200454503553e-31,0.0,6.066052893711861e-112,9.28091658142048e-281,3.733269104132633e-282,0.0,1.0,0.0
4,-0.9879759519038076,0.0490702586897008,8,1.0,0.0,8.938415210339966e-24,0.0,6.282938695039084e-125,1.8436842200324651e-249,9.59849342835194e-256,0.0,1.0,0.0
5,-0.9839679358717436,0.1591884870257476,8,1.0,0.0,3.648817752873918e-18,0.0,5.677689743051422e-135,4.209318620483847e-225,1.1227021488004905e-236,0.0,1.0,0.0
6,-0.9799599198396792,0.0236445053724691,8,1.0,0.0,4.258890589914007e-25,0.0,1.0348903171428235e-120,9.383277709585271e-246,1.156433296796096e-257,0.0,1.0,0.0
7,-0.9759519038076152,0.2344029622180612,8,0.9999999999999917,0.0,8.311181798270823e-15,0.0,4.3202765255474565e-141,3.553622023724855e-204,2.9200976863699234e-223,0.0,0.9999999999999917,0.0
8,-0.9719438877755512,0.2143921552289616,8,0.9999999999999993,0.0,6.731850731453021e-16,0.0,2.2800063101073262e-138,4.7793555975047404e-204,3.1287760178480593e-225,0.0,0.9999999999999993,0.0
9,-0.9679358717434868,0.1413661112553624,8,1.0,0.0,2.5057882212571517e-19,0.0,4.450024599265968e-130,7.511602044755034e-213,4.020518588009546e-235,0.0,1.0,0.0
10,-0.9639278557114228,0.2133901159749549,8,0.9999999999999996,0.0,4.0670266102993374e-16,0.0,9.619911216760525e-137,6.821006103147573e-197,2.7985027472875476e-223,0.0,0.9999999999999996,0.0
11,-0.9599198396793588,0.3770434388885351,8,0.9999999973097685,0.0,2.6902314802385706e-09,0.0,3.626038553888844e-153,1.8598350570657103e-166,5.2009206324178566e-200,0.0,0.9999999973097685,0.0
12,-0.9559118236472944,0.3321687092963617,8,0.9999999999733342,0.0,2.66657811780085e-11,0.0,9.305025639092241e-148,1.8251208111920597e-170,6.872363119314596e-205,0.0,0.9999999999733342,0.0
13,-0.9519038076152304,0.2983213346343632,8,0.9999999999990347,0.0,9.652853287121917e-13,0.0,2.21662076053928e-143,1.768871261088696e-172,2.536001142050107e-208,0.0,0.9999999999990347,0.0
14,-0.9478957915831664,0.3025489984476177,8,0.9999999999987195,0.0,1.2805630146557487e-12,0.0,4.907276934087096e-143,2.0726218091537083e-168,1.0587724638641665e-206,0.0,0.9999999999987195,0.0
15,-0.9438877755511024,0.3514334896736155,8,0.9999999999232538,0.0,7.674626068173643e-11,0.0,1.3705718934552934e-147,1.286820424749125e-157,1.9713470561543605e-199,0.0,0.9999999999232538,0.0
16,-0.939879759519038,0.3278858027595291,8,0.999999999989512,0.0,1.0488132012555451e-11,0.0,3.697640633535745e-144,7.661783285756542e-158,2.756596530308898e-201,0.0,0.999999999989512,0.0
17,-0.935871743486974,0.2237351567380752,8,0.9999999999999972,0.0,2.8385149294547432e-15,0.0,1.6175577166793822e-131,1.1619988738278803e-169,1.7220942614283124e-213,0.0,0.9999999999999972,0.0
18,-0.93186372745491,0.5785289179259775,8,0.9989459316496153,0.0,0.0010540683503846564,0.0,8.149320428788152e-171,7.353241036815309e-116,1.7430059391078337e-171,0.0,0.9989459316496153,0.0
19,-0.9278557114228456,0.4503569803276294,8,0.9999999012174219,0.0,9.878257811067295e-08,0.0,1.570976090299434e-155,6.94661593736135e-131,8.100868658708701e-184,0.0,0.9999999012174219,0.0
20,-0.9238476953907816,0.4922813406205163,8,0.999998478076047,0.0,1.5219239529191945e-06,0.0,1.4287348810226889e-159,2.8470085695556804e-122,2.219356492195272e-178,0.0,0.999998478076047,0.0
21,-0.9198396793587176,0.4780035345551173,8,0.999999439496326,0.0,5.605036740362009e-07,0.0,4.210620334844095e-157,2.6251777511940827e-121,7.809645274314518e-179,0.0,0.999999439496326,0.0
22,-0.9158316633266532,0.4457273393054929,8,0.9999999194894265,0.0,8.051057352679434e-08,0.0,1.983461351492785e-152,1.4278358893790948e-122,4.325379975263415e-181,0.0,0.9999999194894265,0.0
23,-0.9118236472945892,0.5112432990510998,8,0.9999957136089999,0.0,4.286391000094576e-06,0.0,2.416285883522265e-159,2.3065059905249266e-111,2.0419595695732373e-173,0.0,0.9999957136089999,0.0
24,-0.9078156312625252,0.4194126106230337,8,0.9999999701309691,0.0,2.986903095680508e-08,0.0,2.331886009682576e-147,7.973745631467011e-120,1.832787520160249e-181,0.0,0.9999999701309691,0.0
25,-0.9038076152304608,0.750430931564802,8,0.6238041479717309,0.0,0.3761958520282692,0.0,8.183269309729176e-187,9.540520733256616e-78,9.342988770732828e-152,0.0,0.6238041479717309,0.0
26,-0.8997995991983968,0.4900425042856108,8,0.9999974692365022,0.0,2.530763497766022e-06,0.0,5.3160577335166245e-154,1.9124021969237904e-105,4.6778448043260923e-172,0.0,0.9999974692365022,0.0
27,-0.8957915831663327,0.5264122210030322,8,0.9999805777570595,0.0,1.9422242940484425e-05,0.0,1.5803417009971725e-157,1.8007392282749524e-98,1.5072523714269362e-167,0.0,0.9999805777570595,0.0
28,-0.8917835671342685,0.5935286656085811,8,0.999552922248919,0.0,0.00044707775108099616,0.0,5.767153019917943e-165,2.3008089065402426e-88,1.0509001270417563e-160,0.0,0.999552922248919,0.0
29,-0.8877755511022044,0.7511766133773464,8,0.8572703550520392,0.0,0.1427296449479608,0.0,5.254788089145083e-184,3.041377587439752e-69,2.823738420367756e-148,0.0,0.8572703550520392,0.0
30,-0.8837675350701403,0.6682614132779953,8,0.9900569201437119,0.0,0.009943079856288098,0.0,1.3236855840325666e-172,1.4150083868689447e-75,7.152350182666611e-153,0.0,0.9900569201437119,0.0
31,-0.8797595190380761,0.5867569221054045,8,0.999047181842786,0.0,0.0009528181572139903,0.0,3.620596330906372e-161,2.228235556350712e-81,8.999155507683575e-158,0.0,0.999047181842786,0.0
32,-0.875751503006012,0.8041071398637655,8,0.6523270245898432,0.0,0.3476729754101569,0.0,1.467323640160294e-188,4.4758156920146904e-58,1.6005699105061108e-142,0.0,0.6523270245898432,0.0
33,-0.8717434869739479,0.7799061131226296,8,0.7692255304258756,0.0,0.23077446957412434,0.0,1.6335056948339817e-184,2.568078250930891e-58,7.521974488650427e-143,0.0,0.7692255304258756,0.0
34,-0.8677354709418837,0.7817093553110547,8,0.7442009976292748,0.0,0.25579900237072517,0.0,6.825537352989717e-184,3.576633916465021e-56,9.047482448475792e-142,0.0,0.7442009976292748,0.0
35,-0.8637274549098196,0.8126333846984377,8,0.5991441058308054,0.0,0.4008558941691946,0.0,3.3287824028449935e-187,1.3131072790866397e-51,2.9666770234891153e-139,0.0,0.5991441058308054,0.0
36,-0.8597194388777555,0.9631846592233771,2,0.8044301369414663,0.0,0.8044301369414663,0.0,5.474651121808002e-207,8.548679700069209e-38,1.5408755714126266e-132,0.0,0.1955698630585338,0.0
37,-0.8557114228456915,0.9622150236127718,2,0.7713902247613402,0.0,0.7713902247613402,0.0,4.788601887673526e-206,2.3435495622495024e-36,1.0905318770106803e-131,0.0,0.22860977523865977,0.0
38,-0.8517034068136273,0.7477425907395796,8,0.5393630804222532,0.0,0.4606369195777468,0.0,1.5183675761953907e-175,5.971079051764053e-51,2.7920513892764857e-139,0.0,0.5393630804222532,0.0
39,-0.8476953907815632,0.9473539800456244,2,0.7434578224848802,0.0,0.7434578224848802,0.0,2.3225282661114847e-202,1.7624701313923839e-34,2.346962632497884e-130,0.0,0.25654217751511976,0.0
40,-0.8436873747494991,0.8623416122474702,2,0.7756843496149162,0.0,0.7756843496149162,0.0,1.0030585392717525e-189,5.4402783683052315e-39,2.6260726481277966e-132,0.0,0.22431565038508394,0.0
41,-0.8396793587174349,0.885333379280419,2,0.8298001895230429,0.0,0.8298001895230429,0.0,4.5292645432961335e-192,8.405839902174393e-36,1.589657583282215e-130,0.0,0.1701998104769571,0.0
42,-0.8356713426853708,0.7232054857945984,2,0.940307753111489,0.0,0.940307753111489,0.0,1.8182100769350657e-168,4.5092676626761116e-45,2.635804766727441e-136,0.0,0.059692246888511116,0.0
43,-0.8316633266533067,0.8575932517655976,2,0.9411444159826662,0.0,0.9411444159826662,0.0,1.6613823898263133e-186,1.4373094551381627e-34,1.2511720337336126e-129,0.0,0.0588555840173338,0.0
44,-0.8276553106212425,0.8182826949775805,2,0.9797267381731215,0.0,0.9797267381731215,0.0,3.573070509061424e-180,1.516177331447126e-35,3.4278710907431704e-130,0.0,0.020273261826878487,0.0
45,-0.8236472945891784,0.9610776017098648,2,0.9293131163421948,0.0,0.9293131163421948,0.0,3.2307684849985566e-199,2.9935703788593433e-25,1.731936759500006e-124,0.0,0.07068688365780514,0.0
46,-0.8196392785571143,0.9914761877645816,2,0.9239365492847698,0.0,0.9239365492847698,0.0,1.3843777554258037e-202,3.44119775388074e-22,8.253957709012581e-123,0.0,0.07606345071523025,0.0
47,-0.8156312625250501,0.7502132794188718,2,0.9996544787504352,0.0,0.9996544787504352,0.0,3.917446432305656e-168,5.581255092189234e-35,3.103617762802971e-130,0.0,0.000345521249564693,0.0
48,-0.811623246492986,0.9242108426214304,2,0.9951246540629782,0.0,0.9951246540629782,0.0,1.2528430042042016e-191,1.1742272837970106e-23,7.910008080459492e-123,0.0,0.004875345937021829,0.0
49,-0.8076152304609219,1.0249367852020377,2,0.9647285497927972,0.0,0.9647285497927972,0.0,1.0617810509415549e-204,5.715337388839528e-17,2.1240712220389008e-119,0.0,0.035271450207202786,0.0
50,-0.8036072144288577,0.9288747264897528,2,0.9990890738074056,0.0,0.9990890738074056,0.0,1.2398356965423922e-190,5.158556964703489e-21,6.814359499615938e-121,0.0,0.0009109261925943519,0.0
51,-0.7995991983967936,1.0101567921440853,2,0.9946724230688673,0.0,0.9946724230688673,0.0,5.0553760790573356e-201,9.75787961958582e-16,5.853817626067284e-118,0.0,0.005327576931131806,0.0
52,-0.7955911823647295,0.9873439858246856,2,0.9990456438271381,0.0,0.9990456438271381,0.0,4.56330473927024e-197,6.828333298130831e-16,1.3553706024103363e-117,0.0,0.0009543561728611614,0.0
53,-0.7915831663326653,0.993394300813749,2,0.999553819629099,0.0,0.999553819629099,0.0,4.40942433562204e-197,1.2409937501824346e-14,1.4062031605183382e-116,0.0,0.00044618037088862067,0.0
54,-0.7875751503006012,0.9505543847639498,2,0.9999757301536658,0.0,0.9999757301536658,0.0,2.329842259532108e-190,1.1808842989188766e-15,9.895793169802658e-117,0.0,2.4269846333072754e-05,0.0
