vector_index,x,y_original,cluster_id,max_posterior,posterior_component_1,posterior_component_2,posterior_component_3
1,0.0,0.99567269196597,3,0.9994325454015365,6.920641303649303e-14,0.0005674545983943448,0.9994325454015365
2,0.002004008016032,1.058906780327705,3,0.9990459738881418,1.5333374678947784e-13,0.0009540261117049534,0.9990459738881418
3,0.0040080160320641,1.092221206608347,3,0.998569367249631,2.873580999122163e-13,0.0014306327500816307,0.998569367249631
4,0.0060120240480961,1.0783304387070758,3,0.998829101561921,2.3395520227110333e-13,0.0011708984378450643,0.998829101561921
5,0.0080160320641282,0.9613462302623296,3,0.9994251201259396,9.08161546992774e-14,0.0005748798739695132,0.9994251201259396
6,0.0100200400801603,1.0165847867222093,3,0.9993167902450627,1.2628510587073086e-13,0.000683209754810989,0.9993167902450627
7,0.0120240480961923,1.038458245640843,3,0.9992095232615619,1.6632872809697717e-13,0.0007904767382717294,0.9992095232615619
8,0.0140280561122244,1.0144893697221615,3,0.9992992813394191,1.4941119616322042e-13,0.0007007186604313999,0.9992992813394191
9,0.0160320641282565,1.0524519105486796,3,0.99911193428195,2.244452858405039e-13,0.0008880657178256051,0.99911193428195
10,0.0180360721442885,1.0794689820840553,3,0.9988733670597411,3.3555374989376955e-13,0.00112663293992334,0.9988733670597411
11,0.0200400801603206,1.0934360699687555,3,0.9987041438563512,4.367092102687566e-13,0.001295856143212072,0.9987041438563512
12,0.0220440881763527,1.134327839210094,3,0.9978492493298375,9.43753438872453e-13,0.0021507506692187445,0.9978492493298375
13,0.0240480961923847,1.030356548128344,3,0.9991716139631844,2.639476223989224e-13,0.0008283860365516584,0.9991716139631844
14,0.0260521042084168,0.9782168007102072,3,0.9991826190558807,2.675877033858376e-13,0.0008173809438517222,0.9991826190558807
15,0.0280561122244488,1.0756320613451964,3,0.9989012039115736,4.53363267975716e-13,0.001098796087973113,0.9989012039115736
16,0.0300601202404809,1.1633712058174437,3,0.9969714266805734,1.9941257268867413e-12,0.0030285733174325296,0.9969714266805734
17,0.032064128256513,1.0378324530915108,3,0.9990655984810697,4.061783559874666e-13,0.0009344015185241916,0.9990655984810697
18,0.034068136272545,1.106222556824355,3,0.9985660994835664,8.070863363039665e-13,0.0014339005156265244,0.9985660994835664
19,0.0360721442885771,1.1109471050190656,3,0.9985022918632805,9.172786976677719e-13,0.0014977081358021817,0.9985022918632805
20,0.0380761523046092,1.0868907072248009,3,0.9987569081453883,7.507269059487076e-13,0.0012430918538609015,0.9987569081453883
21,0.0400801603206412,1.0805509637222055,3,0.9987876029294532,7.717183850854415e-13,0.0012123970697749352,0.9987876029294532
22,0.0420841683366733,1.0317789963647843,3,0.9989158052366371,6.836505150846828e-13,0.0010841947626792064,0.9989158052366371
23,0.0440881763527054,0.9579981579121968,3,0.9984915636263756,1.0699348889467256e-12,0.0015084363725544944,0.9984915636263756
24,0.0460921843687374,1.0283922129623424,3,0.9988247162482532,8.639545212377243e-13,0.0011752837508828698,0.9988247162482532
25,0.0480961923847695,1.073673634362874,3,0.9987238107606756,1.0663904811286962e-12,0.0012761892382580592,0.9987238107606756
