vector_index,x,y_original,cluster_id,is_noise,is_core
1,-1.0,-0.033900774561816,1,0,1
2,-0.995991983967936,-0.0110926829505698,1,0,1
3,-0.9919839679358716,-0.0933065306853718,1,0,0
4,-0.9879759519038076,0.0490702586897008,1,0,0
5,-0.9839679358717436,0.1591884870257476,2,0,1
6,-0.9799599198396792,0.0236445053724691,1,0,1
7,-0.9759519038076152,0.2344029622180612,2,0,1
8,-0.9719438877755512,0.2143921552289616,2,0,1
9,-0.9679358717434868,0.1413661112553624,2,0,0
10,-0.9639278557114228,0.2133901159749549,2,0,1
11,-0.9599198396793588,0.3770434388885351,3,0,1
12,-0.9559118236472944,0.3321687092963617,3,0,1
13,-0.9519038076152304,0.2983213346343632,3,0,1
14,-0.9478957915831664,0.3025489984476177,3,0,1
15,-0.9438877755511024,0.3514334896736155,3,0,1
16,-0.939879759519038,0.3278858027595291,3,0,1
17,-0.935871743486974,0.2237351567380752,2,0,1
18,-0.93186372745491,0.5785289179259775,4,0,1
19,-0.9278557114228456,0.4503569803276294,4,0,1
20,-0.9238476953907816,0.4922813406205163,4,0,1
21,-0.9198396793587176,0.4780035345551173,4,0,1
22,-0.9158316633266532,0.4457273393054929,4,0,1
23,-0.9118236472945892,0.5112432990510998,4,0,1
24,-0.9078156312625252,0.4194126106230337,4,0,1
25,-0.9038076152304608,0.750430931564802,5,0,1
26,-0.8997995991983968,0.4900425042856108,4,0,1
27,-0.8957915831663327,0.5264122210030322,4,0,1
28,-0.8917835671342685,0.5935286656085811,4,0,0
29,-0.8877755511022044,0.7511766133773464,5,0,1
30,-0.8837675350701403,0.6682614132779953,0,1,0
31,-0.8797595190380761,0.5867569221054045,4,0,1
32,-0.875751503006012,0.8041071398637655,5,0,1
33,-0.8717434869739479,0.7799061131226296,5,0,1
34,-0.8677354709418837,0.7817093553110547,5,0,1
35,-0.8637274549098196,0.8126333846984377,5,0,1
36,-0.8597194388777555,0.9631846592233771,5,0,1
37,-0.8557114228456915,0.9622150236127718,5,0,1
38,-0.8517034068136273,0.7477425907395796,5,0,1
39,-0.8476953907815632,0.9473539800456244,5,0,1
40,-0.8436873747494991,0.8623416122474702,5,0,1
41,-0.8396793587174349,0.885333379280419,5,0,1
42,-0.8356713426853708,0.7232054857945984,5,0,1
43,-0.8316633266533067,0.8575932517655976,5,0,1
44,-0.8276553106212425,0.8182826949775805,5,0,1
45,-0.8236472945891784,0.9610776017098648,5,0,1
46,-0.8196392785571143,0.9914761877645816,5,0,1
47,-0.8156312625250501,0.7502132794188718,5,0,1
