row,ensembles,super_ensembles,low_confidence_ensembles,seed_of
1,"34,47,62","1","34,47,62",""
2,"7,8,24,53","","7,8,24,53",""
3,"21,41,57","1","41,57",""
4,"23,48","","23,48",""
5,"1","","1","1"
6,"","","27",""
7,"35,36,54","","35,36,54",""
8,"9,66","","9,66",""
9,"59,75,76","","59,75,76",""
10,"37","","27,37,64",""
11,"","","2","2"
12,"30,63","","30,63",""
13,"30,38,63","","30,38,63",""
14,"46,68","","46,68",""
15,"38","","38",""
16,"60","","50,60",""
17,"6,15","","6,15",""
18,"16,61","","16,61",""
19,"9,22","","9,22",""
20,"12,63","","12,63",""
21,"3","","3","3"
22,"44,55,58","","44,55,58",""
23,"23,48,51","","23,48,51",""
24,"1,67","","1,67",""
25,"39,47,57","","39,47,57",""
26,"20","","20",""
27,"","","27",""
28,"4,57","","4,57","4"
29,"5","","5","5"
30,"40,44,45","","40,44,45",""
31,"10,51,55","","10,51,55",""
32,"17,52","","17,52",""
33,"25,44,66","","25,66",""
34,"6,36","","6,36",""
35,"37","","37,64",""
36,"21,56,74","1","56,74",""
37,"30,67","","30,67",""
38,"3,40","","2,3,40,50",""
39,"5,15,42","","5,15,42",""
40,"29,49","","29,49",""
41,"22,52","","22,52",""
42,"3,49,60,76","","3,49,60,76",""
43,"49,60,76","","49,60,76",""
44,"32,44,45","","32,44,45",""
45,"32,35,36","","32,35,36",""
46,"40,60","","40,50,60",""
47,"13,21,33,74","1","13,74",""
48,"35,54","","35,54",""
49,"34,47","1","34,47",""
50,"19,21,33,34","1","19",""
51,"1,67","","1,67",""
52,"40,44,58","","2,40,58",""
53,"6,15,42","","6,15,42",""
54,"37,72","","37,64,72",""
55,"1,8,67","","1,8,67",""
56,"6","","6","6"
57,"7,53","","7,53","7"
58,"22,72","","22,72",""
59,"1,67","","1,67",""
60,"46,70","","46,70",""
61,"1,8,53","","1,8,53","8"
62,"21,74","1","74",""
63,"26,31,41","","26,31,41",""
64,"37,39","","37,39",""
65,"39","","39",""
66,"46,68","","46,68",""
67,"21,33,34,43,71","1","33,43,71",""
68,"34,43,62","1","34,43,62",""
69,"4,39,57,72","","4,39,57,72",""
70,"21,74","1","74",""
71,"21,26,41","1","26,41",""
72,"5,28,68","","5,28,68",""
73,"40,44,58","","2,40,44,58",""
74,"62","","62",""
75,"9","","9","9"
76,"3,76","","3,50,76",""
77,"21,33,34","1","33",""
78,"10,11,51,55","","10,11,51,55","10"
79,"20","","2,20",""
80,"42","","42",""
81,"23,48","","23,48",""
82,"21","1","21",""
83,"12,38,63","","12,38,63",""
84,"7,8,24,53","","7,8,24,53",""
85,"12,38,70","","12,38,70",""
86,"34,43,62","1","43,62",""
87,"16,30","","16,30",""
88,"7,8,24,53","","7,8,24,53",""
89,"8,24,53","","8,24,53",""
90,"13,18,21,65","1","13,18,21,65",""
91,"28,73","","28,73",""
92,"1,30,67","","1,30,67",""
93,"11,15,55","","11,15,55","11"
94,"40,44,58","","2,40,44,58",""
95,"16,30,63","","16,30,63",""
96,"29","","29",""
97,"44,55,58","","44,55,58",""
98,"37","","27,37,64",""
99,"12","","12",""
100,"21,33,34,71","1","33,71",""
101,"","","27,64",""
102,"20,23,51","","20,23,51",""
103,"7,24,53","","7,24,53",""
104,"44,58","","44,58",""
105,"12,70","","12,70","12"
106,"1,67","","1,67",""
107,"18,21,65","1","18,21,65",""
108,"29,69","","29,69",""
109,"21,33","1","33",""
110,"14,31,52","","14,31,52",""
111,"32,44,45","","32,44,45",""
112,"16,38","","16,38",""
113,"68","","68",""
114,"13,21,33,65","1","13,65","13"
